순서,투자연도,투자일자,투자금액,투자종류,업종코드,업종분류,소재지,기업구분
284,2019,2019-11-11,799996500,전환사채,G46441,의약품 도매업,경기 용인시,소기업
285,2019,2019-11-14,500000000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 강남구,소기업
286,2019,2019-11-18,300000000,우선주,J63991,데이터베이스 및 온라인정보 제공업,서울 영등포구,소기업
287,2019,2019-11-20,300000000,우선주,C29210,농업 및 임업용 기계 제조업,전북 전주시,소기업
288,2019,2019-11-21,1500000000,우선주,G47911,전자상거래 소매 중개업,경기 남양주시,소기업
289,2019,2019-11-22,799995000,우선주,N76190,기타 운송장비 임대업,제주 제주시,소기업
290,2019,2019-11-26,299830920,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 종로구,소기업
291,2019,2019-12-03,300000000,우선주,C10801,배합 사료 제조업,부산 해운대구,소기업
292,2019,2019-12-03,999985000,우선주,C26299,그 외 기타 전자부품 제조업,경기 화성시,소기업
293,2019,2019-12-03,499800000,우선주,C20411,일반용 도료 및 관련제품 제조업,경기 안양시,소기업
294,2019,2019-12-04,600000000,우선주,M70129,기타 공학 연구개발업,서울 동대문구,소기업
295,2019,2019-12-11,1000000000,우선주,C29172,공기 조화장치 제조업,서울 성동구,소기업
296,2019,2019-12-11,299968000,우선주,J58222,응용 소프트웨어 개발 및 공급업,경기 의왕시,소기업
297,2019,2019-12-18,299989000,전환사채,C10713,과자류 및 코코아 제품 제조업,충남 천안시,소기업
298,2019,2019-12-19,300000000,우선주,J63120,포털 및 기타 인터넷 정보매개 서비스업,서울 송파구,소기업
299,2019,2019-12-19,300000000,우선주,C20111,석유화학계 기초 화학물질 제조업,울산 울주군,소기업
300,2019,2019-12-20,300000000,우선주,C29142,기어 및 동력전달장치 제조업,경북 구미시,소기업
301,2019,2019-12-23,699865000,우선주,M73203,시각 디자인업,경기 성남시,소기업
302,2019,2019-12-23,1499995000,우선주,C29299,그 외 기타 특수목적용 기계 제조업,경북 구미시,소기업
303,2019,2019-12-23,999999000,우선주,J58222,응용 소프트웨어 개발 및 공급업,경기 성남시,소기업
304,2019,2019-12-23,999900000,우선주,C27199,그 외 기타 의료용 기기 제조업,경기 용인시,소기업
305,2019,2019-12-23,499980000,우선주,C22199,그 외 기타 고무제품 제조업,부산 북구,소기업
306,2019,2019-12-23,299999328,보통주,Q87294,사회복지 상담서비스 제공업,서울 강남구,소기업
307,2019,2019-12-26,999936000,보통주,C21102,생물학적 제제 제조업,대전 유성구,소기업
308,2019,2019-12-26,600000000,우선주,C22222,설치용 및 위생용 플라스틱제품 제조업,서울 성동구,소기업
309,2019,2019-12-26,949977000,우선주,C29280,산업용 로봇 제조업,부산 기장군,소기업
310,2019,2019-12-26,999999000,우선주,M70121,전기ㆍ전자공학 연구개발업,전북 전주시,소기업
