순서,투자연도,투자일자,투자금액,투자종류,업종코드,업종분류,소재지,기업구분
173,2018,2018-05-14,200000000,우선주,J63991,데이터베이스 및 온라인정보 제공업,서울 강남구,소기업
174,2018,2018-05-15,1500000000,우선주,J59112,애니메이션 영화 및 비디오물 제작업,서울 강남구,소기업
175,2018,2018-05-15,220000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 강남구,소기업
176,2018,2018-05-30,1500000000,전환사채,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",경북 구미시,소기업
177,2018,2018-06-08,499950000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 강남구,소기업
178,2018,2018-06-05,500000000,우선주,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",경남 김해시,소기업
179,2018,2018-06-12,499960000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 마포구,중기업
180,2018,2018-06-15,300000000,우선주,C29174,기체 여과기 제조업,서울 구로구,소기업
181,2018,2018-06-14,300000000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 마포구,소기업
182,2018,2018-06-14,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 마포구,소기업
183,2018,2018-06-07,200000000,우선주,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",경기 수원시,소기업
184,2018,2018-06-15,100200000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 마포구,소기업
185,2018,2018-06-20,999960000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 성동구,소기업
186,2018,2018-06-28,699984000,우선주,C27199,그 외 기타 의료용 기기 제조업,대전 유성구,소기업
187,2018,2018-06-22,1000000000,우선주,C29271,반도체 제조용 기계 제조업,경기 시흥시,소기업
188,2018,2018-06-28,1500000000,전환사채,C28429,기타 조명장치 제조업,경기 성남시,중기업
189,2018,2018-06-22,499993000,우선주,C24191,"도금, 착색 및 기타 표면처리강재 제조업",경기 안산시,소기업
190,2018,2018-06-22,999900000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 용산구,소기업
191,2018,2018-06-22,300000000,우선주,C29210,농업 및 임업용 기계 제조업,광주 광산구,소기업
192,2018,2018-06-22,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,대구 동구,소기업
193,2018,2018-06-26,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,부산 연제구,소기업
194,2018,2018-06-27,200000000,우선주,M70111,"물리, 화학 및 생물학 연구개발업",서울 성북구,소기업
195,2018,2018-09-11,499995000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,경기 성남시,소기업
196,2018,2018-09-13,799950000,우선주,C21102,생물학적 제제 제조업,경기 수원시,소기업
197,2018,2018-09-20,1000000000,우선주,C27199,그 외 기타 의료용 기기 제조업,서울 구로구,소기업
198,2018,2018-10-19,999975000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 종로구,소기업
199,2018,2018-10-26,1000000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,경기 성남시,소기업
200,2018,2018-10-30,799956000,우선주,C28519,기타 가정용 전기기기 제조업,대전 유성구,소기업
201,2018,2018-11-02,549990000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 강남구,소기업
202,2018,2018-11-05,699900000,우선주,C15129,가방 및 기타 보호용 케이스 제조업,경기 파주시,소기업
203,2018,2018-10-19,300000000,우선주,C29299,그 외 기타 특수목적용 기계 제조업,광주 광산구,중기업
204,2018,2018-11-22,1000000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 강남구,소기업
205,2018,2018-11-28,700000000,우선주,J58212,모바일 게임 소프트웨어 개발 및 공급업,서울 강남구,소기업
206,2018,2018-11-23,1500000000,우선주,C27212,"전자기 측정, 시험 및 분석기구 제조업",경기 화성시,중기업
207,2018,2018-12-27,999955000,우선주,G46325,커피 및 차류 도매업,경기 파주시,중기업
208,2018,2018-12-14,599998000,우선주,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",대전 유성구,소기업
209,2018,2018-10-25,200000000,우선주,N75290,기타 여행 보조 및 예약 서비스업,서울 마포구,소기업
210,2018,2018-12-21,799940000,우선주,C33301,"체조, 육상 및 체력단련용 장비 제조업",서울 성동구,소기업
211,2018,2018-12-27,999967500,우선주,C29299,그 외 기타 특수목적용 기계 제조업,대전 유성구,소기업
212,2018,2018-12-27,499999572,우선주,G46201,곡물 및 유지작물 도매업,경기 광주시,소기업
213,2018,2018-12-27,1499940000,우선주,C20422,"치약, 비누 및 기타 세제 제조업",경기 포천시,중기업
214,2018,2018-12-27,500000000,우선주,C31120,오락 및 스포츠용 보트 건조업,부산 해운대구,소기업
215,2018,2018-10-19,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 서대문구,소기업
216,2018,2018-11-28,200000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 서초구,소기업
217,2018,2018-11-29,200000000,우선주,J63991,데이터베이스 및 온라인정보 제공업,서울 송파구,소기업
218,2018,2018-12-13,300000000,우선주,C27192,정형외과용 및 신체보정용 기기 제조업,서울 마포구,소기업
219,2018,2018-10-30,300000000,우선주,J59112,애니메이션 영화 및 비디오물 제작업,경기 성남시,소기업
220,2018,2018-12-05,300000000,우선주,J63120,포털 및 기타 인터넷 정보매개 서비스업,서울 강남구,소기업
221,2018,2018-12-19,300000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,경기 수원시,소기업
222,2018,2018-12-11,200003363,우선주,C26410,유선 통신장비 제조업,대전 유성구,소기업
