" 2009년 "," 발생건수 ","발생건수 1월","발생건수 2월","발생건수 3월","발생건수 4월","발생건수 5월","발생건수 6월","발생건수 7월","발생건수 8월","발생건수 9월","발생건수 10월","발생건수 11월","발생건수 12월"," 검거건수 ","검거인원 남","검거인원 여",,
" 공업배치및공장설립에관한법률위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 공유수면관리법위반 ","50","4","1","1","2","3","5","7","4","6","5","6","6","50","56","4",,
" 공중위생관리법위반 ","355","27","31","29","37","36","30","19","35","32","28","16","35","348","217","202",,
" 공직선거법위반 ","164","7","2","4","13","29","34","19","11","12","9","6","18","162","222","49",,
" 관세법위반 ","9"," - "," - "," - "," - ","1","1"," - ","3","2"," - ","1","1","8","22","4",,
" 교통사고처리특례법위반 ","199709","15215","14973","15628","15091","15602","17469","17647","16643","17490","17425","18272","18254","193925","174869","23502",,
" 국가기술자격법위반 ","83","5","19","14","3","7","3","3","5","5","2","14","3","79","115","18",,
" 국가보안법위반 ","33","1"," - "," - ","3","6","2","3","3","3","4","5","3","34","29","5",,
" 국민연금법위반 ","24","2"," - "," - "," - "," - ","2","2","4","1","3","3","7","20","19","2",,
" 근로기준법위반 ","41","3","2","1","2","3","3","7","5","1","6","6","2","33","33","6",,
" 낚시어선업법위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 내수면어업법위반 ","202","24","10","8","22","13","30","28","16","15","12","9","15","193","270","8",,
" 노동조합및노동관계조정법위반 ","1"," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - "," - ","1","3"," - ",,
" 농산물품질관리법위반 ","163","13","6","5","12","12","19","26","10","10","32","8","10","162","121","67",,
" 농수산물유통및가격안정에관한법률 ","87","2","7","6","6","5","8","22","4","6","8","11","2","85","70","16",,
" 농업협동조합법위반 ","193","4","8","27","27","11","26","22","11","18","7","17","15","191","452","41",,
" 농지법위반 ","708","60","71","44","54","51","78","60","64","48","68","47","63","695","736","142",,
" 담배사업법위반 ","435","18","16","33","29","33","37","77","76","37","26","34","19","431","291","205",,
" 대기환경보전법위반 ","572","36","30","40","39","30","122","70","46","44","30","49","36","571","579","56",,
" 대부업등의등록및금융이용자보호에관한법률 ","2485","2","1","7","3","1","4","154","419","499","929","295","171","2422","3485","298",,
" 대외무역법위반 ","31"," - ","4","1","1"," - ","1","6"," - ","3","10","3","2","31","36","5",,
" 도로교통법위반 ","40208","3376","3069","3090","3083","3289","3711","3577","3398","3538","3224","3285","3568","29500","28487","2210",,
" 도로교통법위반(무면허운전) ","98129","9154","9684","11671","11837","12456","12314","8053","5573","5299","4136","4066","3886","96339","92203","5364",,
" 도로교통법위반(음주운전) ","290120","20290","17659","22592","25096","25837","30543","29856","25490","26121","20925","20743","24968","285467","266629","19995",,
" 도로교통법위반(음주측정거부) ","3051","269","203","279","264","271","284","310","242","219","214","232","264","3033","2903","155",,
" 도로법위반 ","35040","2225","2276","2675","2986","2990","3466","3322","2877","3125","3172","2912","3014","34521","36388","1244",,
" 도시계획법위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 도시공원법위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 독점규제및공정거래에관한법률위반 ","2"," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - ","1","2","5"," - ",,
" 디자인보호법위반 ","314","37","26","31","15","15","26","32","28","24","27","27","26","272","263","70",,
" 마약류관리에관한법률위반(대마) ","977","31","35","33","90","104","128","144","33","80","89","132","78","956","966","151",,
" 마약류관리에관한법률위반(마약) ","1786","8","7","5","10","460","613","627","15","18","12","7","4","1780","821","993",,
" 마약류관리에관한법률위반(향정) ","3171","148","179","182","287","424","239","229","163","269","456","368","227","3036","3448","853",,
" 마약류불법거래방지에관한특례법위반 ","8"," - "," - "," - "," - ","1","3","1"," - ","1","2"," - "," - ","7","62"," - ",,
" 민사소송법위반 ","14","1","1","1","1","4","2","1"," - ","1","1","1"," - ","12","8","4",,
" 밀항단속법위반 ","163","11","15","2","11","14","14","16","10","14","26","13","17","161","102","63",,
" 방문판매등에관한법률위반 ","838","14","50","47","41","186","129","92","105","29","55","56","34","817","1412","1020",,
" 배타적경제수역의외국인어업등에관한법률 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 범죄수익은닉의규제및처벌등에관한법률 ","7"," - "," - "," - ","2","1"," - "," - "," - "," - ","1","3"," - ","7","3","5",,
" 변호사법위반 ","436","25","25","37","39","41","46","28","33","41","39","41","41","351","430","30",,
" 병역법위반 ","7846","415","411","441","287","457","775","1088","1033","662","830","788","659","6878","6797","160",,
" 보건범죄단속에관한특별조치법위반 ","614","28","34","59","37","32","62","197","31","43","38","22","31","603","592","517",,
" 부동산등기특별조치법위반 ","107","9","11","11","11","10","6","13","8","4","8","9","7","96","130","31",,
" 부동산실권리자명의등기에관한법률 ","487","48","58","40","45","34","46","31","25","26","29","46","59","420","425","206",,
" 부동산중개업법위반 ","66","6","1","5","5","7","6","7","6","9","3","6","5","59","67","24",,
" 부정경쟁방지및영업비밀보호에관한법률위반 ","503","37","36","44","35","39","48","52","35","45","46","41","45","474","681","99",,
" 부정수표단속법위반 ","13915","1253","1332","1587","1398","1299","1151","1240","983","967","1070","710","925","10844","13548","2118",,
" 사행행위등규제및처벌특례법위반 ","5382","423","445","448","467","521","515","497","432","473","424","378","359","5249","5731","1118",,
" 산림자원의조성및관리에관한법률위반 ","257","8","18","19","32","43","18","31","14","19","12","15","28","245","296","35",,
" 산업안전보건법위반 ","16","1","1","1","1","1","1","2","4","1","1"," - ","2","15","19","1",,
" 산업재해보상보험법위반 ","6"," - "," - "," - ","1"," - "," - "," - "," - ","2","2"," - ","1","5","8","2",,
" 상법위반 ","69","1","4","9","10","4","4","5","6","4","13","3","6","64","88","18",,
" 상표법위반 ","4053","200","163","219","181","286","320","542","494","518","316","391","423","3964","2639","1859",,
" 석유사업법위반 ","26","4","2","2","2","4","4","2","1","1","3"," - ","1","26","32","2",,
" 선박안전법위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 선박직원법위반 ","1"," - ","1"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 선원법위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 성매매위반 ","24332","3184","1653","1862","906","1525","2395","1894","2384","2288","2640","1807","1794","24417","53746","11598",,
" 소방기본법위반 ","2","1"," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - ","2","3"," - ",,
" 소음.진동규제법위반 ","44","1","2"," - ","1","1","5","3","5","5","3","13","5","43","41","2",,
" 수도법위반 ","80","5","2","2","3","2","6","11","14","16","8","7","4","80","85","8",,
" 수산업법위반 ","13"," - ","5"," - ","1"," - ","1","1","3"," - ","1","1"," - ","11","26","1",,
" 수산자원보호령위반 ","35","4","3"," - ","3","3","4","4","2","2","4","1","5","33","27","9",,
" 수상레저안전법위반 ","7"," - "," - "," - "," - "," - ","1","1","3","2"," - "," - "," - ","6","5","1",,
" 수질환경보전법위반 ","4"," - "," - ","1"," - "," - ","2"," - "," - "," - ","1"," - "," - ","5","3","2",,
