번호,의안명,제안자,제안일자,소관 위원회,위원회 회부일,위원회 의결일(상정일),위원회 처리결과,제안회기,본회의 의결일(상정일),본회의 처리결과,집행부 이송일,공포일자,공포번호,,,
390,일본의독토침탈야욕규탄결의(안),최금손의원외14인,2005-03-22,없음,없음,없음,없음,제89회임시회 제1차본회의,2005-03-23,없음,없음,2005.03.23,없음,,,
391,국립서울병원이전추진특별위원회활동계획안,특별위원회,2005-03-22,없음,없음,없음,없음,제89회임시회 제2차본회의,2005-03-29,없음,없음,2005.03.29,없음,,,
392,국립서울병원이전추진특별위원회구성의 건,오재천의원외14인,2005-03-16,없음,없음,없음,없음,제89회임시회 제1차본회의,2005-03-23,없음,없음,2005.03.23,없음,,,
393,국립서울병원이전촉구결의안,오재천의원외14인,2005-03-16,없음,없음,없음,없음,제89회임시회 제2차본회의,2005-03-29,없음,없음,2005.03.29,없음,,,
394,서울특별시광진구세조례중개정조례중 ,세무1과,2005-04-16,기획행정,2005-04-21,2005-04-29,없음,제91회임시회제2차본회의재상정,2005-06-09,원안가결,2005-06-09,2005.06.27(제407호),없음,,,
395,서울특별시광진구세감면조례중개정조례안,세무1과,2005-04-16,기획행정,2005-04-21,2005-04-29,없음,제90회임시회제2차본회의,2005-05-02,원안가결,2005-05-02,2005.05.17,없음,,,
396,서울특별시광진구수수료징수조례중개정조례안,세무1과,2005-04-16,기획행정,2005-04-21,2005-04-29,없음,제90회임시회 제2차본회의,2005-05-02,원안가결,2005-05-02,2005.05.17,없음,,,
397,서울특별시광진구노인복지증진에관한조례안,사회복지과,2005-04-16,복지건설,2005-04-21,2005-04-29,없음,제90회임시회 제2차본회의,2005-05-02,원안가결,2005-05-02,2005.05.17,없음,,,
398,서울특별시광진구영유아보육조례안,사회복지과,2005-04-16,복지건설,2005-04-21,2005-04-29,없음,제90회임시회 제2차본회의,2005-05-02,원안가결,2005-05-02,2005.05.17,없음,,,
399,서울특별시광진구토지평가위원회운영에관한조례중개정 조례안,지적과,2005-04-16,복지건설,2005-04-21,2005-04-29,없음,제90회임시회 제2차본회의,2005-05-02,원안가결,2005-05-02,2005.05.17,없음,,,
400,이종만의원징계동의요구안,나종한의원외7인,2005-04-28,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
401,서울특별시광진구도시계획시설(철도)변경결정(안)에대한의견청취의건,도시개발과,2005-05-18,복지건설,2005-05-23,2005-06-08,없음,제91회임시회제2차본회의,2005-06-09,원안가결,2005-06-09,2005-06-09,없음,,,
402,서울특별시광진구저소득의생활안정지원에관한조례안,사회복지과,2005-05-23,복지건설,2005-05-23,2005-05-23,없음,제91회임시회 제2차본회의,2005-06-09,원안가결,2005-06-09,2005.06.27(제410호),없음,,,
403,서울특별시광진구행정기구설치조례중개정조례안,총무과,2005-05-03,기획행정,2005-05-23,2005-06-08,없음,제91회임시회 제2차본회의,2005-06-09,원안가결,2005-06-09,2005.06.27(제408호),없음,,,
404,서울특별시광진구지방공무원정원조례중개정조례안,총무과,2005-05-03,기획행정,2005-05-23,2005-06-08,없음,제91회임시회 제2차본회의,2005-06-09,원안가결,2005-06-09,2005.06.27(제409호),없음,,,
405,행정사무감사특별위원회구성의건,곽근수의원,2005-06-01,없음,없음,없음,없음,제91회임시회 제1차본회의,2005-06-01,원안가결,2005-06-09,없음,없음,,,
406,행정사무감사계획서채택의건,행감특별위원장,2005-06-07,없음,없음,없음,없음,제91회임시회 제2차본회의,없음,없음,없음,없음,없음,,,
407,광진정보도서관의시설관리공단위탁운영의결안,기획공보과,2005-06-01,기획행정,2005-06-09,2005-06-23,없음,제92회제1차정례회제2차본회의,2005-07-01,원안가결,2005-07-01,없음,없음,,,
408,서울특별시광진구시설관리공단설립및운영에관한조례중개정조례안,기획공보과,2005-06-09,기획행정,2005-06-09,2005-06-23,없음,제92회제1차정례회제2차 본회의,2005-07-01,부 결,2005-07-01,없음,없음,,,
409,서울특별시광진구통·반설치조례중개정조례안,자치행정과,2005-06-09,기획행정,2005-06-09,2005-06-23,없음,제92회제1차 정례회제2차 본회의,2005-07-01,원안가결,2005-07-01,2005.07.15(제411호),없음,,,
410,서울특별시광진구주차장설치조례중개정조례안,교통지도과,2005-06-09,복지건설,2005-06-09,2005-06-23,없음,제92회제1차정례회제2차 본회의,2005-07-01,원안가결,2005-07-01,2005.07.15(제412호),없음,,,
411,2004년도일반·특별회계예비비사용승인(안),기획공보과,2005-06-01,없음,없음,없음,없음,제92회제1차정례회제2차 본회의,2005-06-15,원안가결,2005-07-01,없음,없음,,,
412,이종만의원징계동의요구안 철회요구,나종한의원외7인,2005-06-09,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
413,2004회계년도일반·특별회계세입·세출결산승인건,재무과,2005-06-01,기획행정복지건설,2005-06-09,2005-06-23,없음,제92회제1차정례회제2차본회의,2005-07-01,원안가결,2005-07-01,없음,없음,,,
414,서울특별시광진구의회사무국분장규칙중개정규칙안,곽근수,2005-06-13,의회운영,2005-06-14,2005-06-23,없음,제92회제1차정례회제2차본회의,2005-07-01,원안가결,2005-07-01,2005.07.18,없음,,,
415,서울특별시광진구수수료징수조례중개정조례안,재무과,2005-06-28,기획행정,2005-07-19,2005-07-26,없음,제93회임시회제2차 본회의,2005-07-27,원안가결,2005-07-27,2005.07.29(제413호),없음,,,
416,서울특별시광진구장사등에관한조례안,사회복지과,2005-06-28,복지건설,2005-07-19,2005-07-26,없음,제93회임시회제2차 본회의,2005-07-27,원안가결,2005-07-27,2005.07.29(제414호),없음,,,
417,서울특별시광진구환경오염행위신고포상조례안,환경위생과,2005-06-28,복지건설,2005-07-19,2005-07-26,없음,제93회임시회제2차 본회의,2005-07-27,원안가결,2005-07-27,2005.07.29(제415호),없음,,,
418,2005년도행정사무감사결과보고의건,행감특별위원장,2005-06-28,없음,없음,없음,없음,제92회제1차 정례회제2차본회의,2005-07-01,원안가결,2005-07-01,없음,없음,,,
419,서울특별시광진구표창조례중개정조례안,자치행정과,2005-07-12,기획행정,2005-07-19,2005-07-26,없음,제93회임시회제2차본회의,2005-07-27,원안가결,2005-07-27,2005.07.29(제416호),없음,,,
420,서울특별시광진구지역사회복지협의체설치및운영조례안,사회복지과,2005-07-12,복지건설,2005-07-19,2005-07-26,없음,제93회임시회제2차 본회의,2005-07-27,수정가결,2005-07-27,2005.07.29(제417호),없음,,,
421,서울특별시광진구구의2-1주거환경개전지구정비계획변경안)에관한의견청취의건,도시개발과,2005-07-12,복지건설,2005-07-19,2005-07-26,없음,제93회임시회제2차본회의,2005-07-27,의견채택,2005-07-27,없음,없음,,,
422,서울특별시광진구지방공무원복무조례중개정조례안,총무과,2005-09-12,기획행정,2005-09-15,2005-09-27,없음,제94회 임시회제2차 본회의,2005-09-30,원안가결,2005-09-30,2005.10.18(제419호),없음,,,
423,서울특별시광진구의회의원의의정활동비·회기수당과여비의지급에관한조례중개정조례안,의회사무국,2005-09-12,의회운영,2005-09-15,2005-09-21,없음,제94회 임시회제1차 본회의,2005-09-21,원안가결,2005-09-21,2005.09.22(제418호),없음,,,
424,2005년도서울특별시광진구구유재산관리계획변경안,교통지도과,2005-09-12,복지건설,2005-09-15,2005-09-23,없음,제94회 임시회제2차 본회의,2005-09-30,원안가결,2005-09-30,없음,없음,,,
425,서울특별시광진구주택재건축정비구역지정(안)에관한의견청취의건,도시개발과,2005-09-13,복지건설,2005-09-15,2005-09-23,없음,제94회 임시회제2차 본회의,2005-09-30,의견채택,2005-09-30,없음,없음,,,
426,2005년도일반·특별회계제1차~제15차간주처리내역보고의건,기획공보과,2005-09-14,없음,없음,없음,없음,제94회 임시회제1차 본회의,2005-09-21,보 고,2005-09-21,없음,없음,,,
427,2005년도제1회일반·특별회계세입·세출추가경정예산안,기획공보과,2005-09-14,의회운영기획행정복지건설예결특위,2005-09-15,2005-09-27,없음,제94회 임시회제2차 본회의,2005-09-30,수정가결,2005-09-30,없음,없음,,,
428,서울특별시광진구의회정례회의운영에관한조례중개정조례안,의회사무국,2005-10-19,의회운영,2005-10-24,2005-10-28,없음,제95회임시회제2차본회의,2005-11-01,원안가결,2005-11-01,2005.11.17(제420호),없음,,,
429,서울특별시광진구 장학기금 관리조례안,자치행정과,2005-10-20,기획행정,2005-10-24,2005-10-28,없음,제95회임시회제2차본회의,2005-11-01,원안가결,2005-11-01,2005.11.17(제421호),없음,,,
430,서울특별시광진구도시계획(공원)변경결정(안)에관한의견청취의건,도시개발과,2005-11-17,복지건설,2005-11-18,2005-11-21,없음,제96회임시회제2차본회의,2005-11-22,원안채택,2005-11-22,없음,없음,,,
431,서울특별시광진구지방공무원정원조례중개정조례안,총무과,2005-11-18,기획행정,2005-11-24,2005-11-29,없음,제97회임시회제3차본회의,2005-12-16,원안가결,2005-12-16,2005.12.27(제422호),없음,,,
432,서울특별시광진구민대상조례중개정조례안,자치행정과,2005-11-18,기획행정,2005-11-24,2005-11-29,없음,제97회임시회제3차본회의,2005-12-16,수정가결,2005-12-16,2005.12.27(제424호),없음,,,
433,서울특별시광진구행정기구설치조례중개정조례안,자치행정과,2005-11-18,기획행정,2005-11-24,2005-11-29,없음,제97회임시회제3차본회의,2005-12-16,원안가결,2005-12-16,2005.12.27(제423호),없음,,,
434,2006년도서울특별시광진구공유재산관리계획안,재무과,2005-11-21,기획행정,2005-11-24,2005-11-29,없음,제97회임시회제3차본회의,2005-12-16,원안가결,2005-12-16,없음,없음,,,
435,서울특별시광진구폐기물관리조례중개정조례안,청소과,2005-11-18,복지건설,2005-11-24,2005-12-05,없음,제97회임시회제3차본회의,2005-12-16,원안가결,2005-12-16,2005.12.27(제425호),없음,,,
436,2006년도중기투자·재정계획보고의건,기획공보과,2005-11-21,없음,없음,없음,없음,제97회임시회제1차본회의,2005-11-25,보고,없음,없음,없음,,,
437,2006회계년도기금운용계획안,기획공보과,2005-11-21,기획행정복지건설예결특위,2005-11-24,2005-12-05,없음,제97회임시회제3차본회의,2005-12-16,원안가결,2005-12-16,없음,없음,,,
438,2006년도일반·특별 회계세입·세출예산안,기획공보과,2005-11-21,의회운영기획행정복지건설예결특위,2005-11-24,2005-12-05,없음,제97회임시회제3차본회의,2005-12-16,수정가결,2005-12-16,없음,없음,,,
439,2005년도제2회일반·특별회계세입·세출추가경정예산안,기획공보과,2005-12-01,복지건설예결특위,2005-12-05,2005-12-06,없음,제97회임시회제3차본회의,2005-12-16,원안가결,2005-12-16,없음,없음,,,
440,서울특별시광진구 주민자치센터 설치 및 운영 조례 일부개정조례안,자치행정과,2006-01-27,기획행정,2006-02-13,2006-02-23,없음,제98회 임시회제2차 본회의,2006-02-28,수정가결,2006-02-28,2006.03.09(제428호),없음,,,
441,서울특별시광진구 도로점용 허가 및 점용료 등 징수 조례 일부개정조례안,건설관리과,2006-01-27,복지건설,2006-02-13,2006-02-27,없음,제98회 임시회제2차 본회의,2006-02-28,부 결,2006-02-28,없음,없음,,,
442,서울특별시광진구 옥외광고물 등 관리 조례 전부개정조례안,건설관리과,2006-01-27,복지건설,2006-02-13,2006-02-27,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,2006.03.09(제429호),없음,,,
443,서울특별시광진구 보건소 수가 조례 일부개정조례안,의약과,2006-01-27,복지건설,2006-02-13,2006-02-27,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,2006.03.09(제430호),없음,,,
444,서울특별시광진구 도시계획시설(도시철도:정거장) 변경결정안에 관한 의견청취 건,도시개발과,2006-01-31,복지건설,2006-02-13,2006-02-27,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,없음,없음,,,
445,서울특별시광진구 능동로 지구단위계획(도시계획시설 : 공공청사) 변경결정안에 관한 의견청취 건,도시개발과,2006-02-02,복지건설,2006-02-13,2006-02-27,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,없음,없음,,,
446,서울특별시광진구 용도지구(최고고도지구) 변경결정안에 관한 의견청취 건,도시개발과,2006-02-02,복지건설,2006-02-13,2006-02-27,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,없음,없음,,,
447,서울특별시광진구 지방공무원 정원 조례 일부개정조례안,총무과,2006-02-06,기획행정,2006-02-13,2006-02-23,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,2006.03.09(제426호),없음,,,
448,서울특별시광진구 지방공무원 여비지급 조례 일부개정조례안,총무과,2006-02-06,기획행정,2006-02-13,2006-02-23,없음,제98회 임시회제2차 본회의,2006-02-28,원안가결,2006-02-28,2006.03.09(제427호),없음,,,
449,서울특별시광진구 체육시설의 설치 및 운영에 관한 조례안,문화체육과,2006-04-12,기획행정,2006-04-21,2006-04-28,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제431호),없음,,,
450,국립서울병원 이전 촉구 범 구민 궐기대회 개최 결의안,오재천의원외5명,2006-03-13,특별위원회,2006-03-13,2006-03-13,없음,없음,없음,원안가결,없음,없음,없음,,,
451,국립서울병원 이전 촉구 범 구민 궐기대회 개최 일정변경 서면 결의안,오재천의원외3명,2006-03-23,특별위원회,2006-03-23,2006-03-23,없음,없음,없음,원안가결,없음,없음,없음,,,
452,서울특별시광진구 음식물류폐기물 수집.운반 및 재활용 촉진을 위한 조례 전부개정조례안,청소과,2006-04-12,복지건설,2006-04-21,2006-05-03,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제432호),없음,,,
453,서울특별시광진구 도로점용 허가 및 점용료 등 징수 조례 일부개정조례안,건설관리과,2006-04-12,복지건설,2006-04-21,2006-05-03,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제433호),없음,,,
454,서울특별시광진구 지역보건법 위반과태료 부과·징수 조례안,의약과,2006-04-12,복지건설,2006-04-21,2006-05-03,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제434호),없음,,,
455,서울특별시광진구세 조례 일부개정조례안,세무1과,2006-04-18,기획행정,2006-04-21,2006-04-28,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제435호),없음,,,
456,서울특별시광진구세 감면 조례 일부개정조례안,세무1과,2006-04-18,기획행정,2006-04-21,2006-04-28,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제436호),없음,,,
457,광진구민체육센터 및 행정차고.다목적사무실의 광진구시설관리공단 위탁운영 의결안,문화체육과,2006-04-17,기획행정,2006-04-21,2006-04-28,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,없음,없음,,,
458,서울특별시광진구 도시계획시설(공원)결정 및 변경결정(안)에 관한 의견청취의 건,도시개발과,2006-04-17,복지건설,2006-04-21,2006-05-03,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,없음,없음,,,
459,서울특별시광진구의회 위원회 조례 일부개정조례안,의회사무국,2006-04-20,의회운영,2006-04-21,2006-05-03,없음,제99회 임시회제2차 본회의,2006-05-04,원안가결,2006-05-04,2006.05.19(제437호),없음,,,
460,서울특별시광진구 주민자치센터 설치 및 운영 조례 일부개정조례안,자지행정과,2006-05-11,기획행정,2006-06-07,2006-06-08,없음,제100회 임시회 제2차 본회의,2006-06-09,수정가결,2006-06-09,2006.06.28(제438호),없음,,,
461,서울특별시광진구의회 의원의 의정활동비.회기수당과 여비의 지급에 관한 조례 일부개정조례안,곽근수의원,2006-06-01,의회운영,2006-06-07,2006-06-08,없음,제100회 임시회 제2차 본회의,2006-06-09,원안가결,2006-06-09,2006.06.28(제439호),없음,,,
462,서울특별시광진구의회 의원 상해 등 보상금 지급에 관한 조례 일부개정조례안,곽근수의원,2006-06-01,의회운영,2006-06-07,2006-06-08,없음,제100회 임시회 제2차 본회의,2006-06-09,원안가결,2006-06-09,2006.06.28(제441호),없음,,,
463,서울특별시광진구의회 결산검사위원 선임 및 운영에 관한 조례 일부개정조례안,곽근수의원,2006-06-01,의회운영,2006-06-07,2006-06-08,없음,제100회 임시회 제2차 본회의,2006-06-09,원안가결,2006-06-09,2006.06.28(제440호),없음,,,
464,행정사무감사특별위원회구성의건,곽근수의원,2006-06-01,없음,2006-06-07,없음,없음,제100회 임시회 제1차 본회의,없음,없음,없음,없음,없음,,,
465,행정사무감사계획서채택의건,행감특별위원장,2006-06-01,행정사무특별위원회,2006-06-07,2006-06-08,없음,제100회 임시회 제2차 본회의,2006-06-09,원안가결,2006-06-09,없음,없음,,,
466,서울특별시광진구 보조금 관리 조례 일부개정조례안,기획공보과,2006-06-09,기획행정,2006-06-12,2006-06-28,없음,제101회 정례회 제2차 본회의,2006-06-29,원안가결,2006-06-29,2006.07.12,없음,,,
467,서울특별시광진구 사회단체 보조금 지원에 관한 조례 일부개정조례안,기획공보과,2006-06-09,기획행정,2006-06-12,2006-06-28,없음,제101회 정례회 제2차 본회의,2006-06-29,원안가결,2006-06-29,2006.07.12,없음,,,
468,서울특별시광진구재정계획심의위원회 조례 일부개정조례안,기획공보과,2006-06-09,기획행정,2006-06-12,2006-06-28,없음,제101회 정례회 제2차 본회의,2006-06-29,원안가결,2006-06-29,2006.07.12,없음,,,
469,서울특별시광진구 재정운영 상황의 공개 조례 폐지조례안,기획공보과,2006-06-09,기획행정,2006-06-12,2006-06-28,없음,제101회 정례회 제2차 본회의,2006-06-29,원안가결,2006-06-29,2006.07.12,없음,,,
470,2005회계연도 일반·특별회계 세입·세출 결산승인 건,재무과,2006-06-08,의회운영기획행정복지건설예결특위,2006-06-12,2006-06-28,없음,제101회 정례회 제2차 본회의,2006-06-29,원안가결,2006-06-29,없음,없음,,,
471,2005년도 일반·특별회계 예비비 사용승인 안,기획공보과,2006-06-12,없음,없음,2006-06-14,없음,제101회 정례회 제1차 본회의,2006-06-15,원안가결,2006-06-29,없음,없음,,,
472,2006년도 행정사무감사 결과보고의 건,행감특별위원장,2006-06-28,없음,없음,2006-06-29,없음,제101회 정례회 제2차 본회의,2006-06-29,원안가결,2006-06-29,없음,없음,,,
473,서울특별시광진구 계약심의위원회의 구성.운영 및 주민참여감독대상 공사범위 등에 관한 조례안,재무과,2006-09-11,기획행정,2006-09-13,2006-09-25,없음,제103회 임시회 제2차 본회의,2006-09-26,원안가결,2006-09-29,2006-10-19,없음,,,
474,서울특별시광진구 폐기물 관리 조례 일부개정조례안,청소과,2006-09-11,복지건설,2006-09-13,2006-09-25,없음,제103회 임시회 제2차 본회의,2006-09-26,원안가결,2006-09-29,2006-10-19,없음,,,
475,서울특별시광진구 도로복구 원인자부담금 징수 조례 일부개정조례안,도로과,2006-09-11,복지건설,2006-09-13,2006-09-25,없음,제103회 임시회 제2차 본회의,2006-09-26,원안가결,2006-09-29,2006-10-19,없음,,,
476,서울특별시광진구 건강도시 실천 기본 조례안,건강관리과,2006-09-11,복지건설,2006-09-13,2006-09-25,없음,제103회 임시회 제2차 본회의,2006-09-26,수정가결,2006-09-29,2006-10-19,없음,,,
477,2006년도 서울특별시광진구 구유재산 관리계획 변경안,재무과,2006-09-14,기획행정,2006-09-13,2006-09-25,없음,제103회 임시회 제2차 본회의,2006-09-26,원안가결,2006-09-29,없음,없음,,,
478,2006년도 제1차~제11차 일반·특별회계 간주처리내역 보고,기획공보과,2006-09-15,없음,없음,없음,없음,제103회 임시회 제1차 본회의,2006-09-19,원안가결,2006-09-29,없음,없음,,,
479,2006년도 제1회 일반·특별회계 세입·세출 추가경정예산안,기획공보과,2006-09-14,의회운영기획행정복지건설예결특위,2006-09-13,2006-09-25,없음,제103회 임시회 제2차 본회의,2006-09-26,수정가결,2006-09-29,없음,없음,,,
480,서울특별시광진구 구민창안제도 운영에 관한 조례안,기획공보과,2006-10-16,기획행정,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
481,서울특별시광진구 구유재산 및 물품관리 조례안,재무과,2006-10-16,기획행정,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
482,서울특별시광진구 수수료 징수 조례 일부개정조례안,세무1과,2006-10-16,기획행정,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
483,서울특별시광진구 세입징수포상금 지급 조례 일부개정조례안,세무2과,2006-10-16,기획행정,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
484,서울특별시광진구 기반시설특별회계 설치 및 운영 조례안,도시개발과,2006-10-16,복지건설,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
485,서울특별시광진구 도시계획 조례 일부개정조례안,지적과,2006-10-16,복지건설,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
486,서울특별시광진구보건소 수가 조례일부개정조례안,보건행정과,2006-10-16,복지건설,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
487,서울특별시광진구 재향군인 예우 및 지원에 관한 조례(안),김찬경,2006-10-17,기획행정,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
488,서울특별시광진구의회 위원회 조례일부개정조례안,박채문,2006-10-16,의회운영,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
489,서울특별시광진구세 조례 일부개정조례안,김창현,2006-10-17,기획행정,2006-10-24,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,없음,없음,,,
489-1,서울특별시광진구세 조례 일부개정조례안 재의요구안,세무1과,2006-11-22,없음,없음,없음,없음,제105회 정례회,2006-12-14,부 결,2006-12-18,없음,없음,,,
490,서울특별시광진구의회 정례회의 등 운영에 관한 조례 일부개정조례안,오한출,2006-10-30,의회운영,2006-10-30,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-242007-01-30(수정공포),없음,,,
491,서울특별시광진구의회표창에 관한 조례,박삼례,2006-10-30,의회운영,2006-10-30,2006-11-01,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,2006-11-06,2006-11-24,없음,,,
492,구의정수장 부지 야구장 건립 반대 결의안,"문종철, 윤호영",2006-11-02,복지건설,2006-11-02,없음,없음,제104회 임시회제2차 본회의,2006-11-02,원안가결,없음,없음,없음,,,
493,광진구 제4기(2007년-2010년) 지역보건의료계획 의결안,보건행정과,2006-11-07,복지건설,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,없음,없음,,,
494,서울특별시광진구 지방공무원 정원 조례 일부개정조례안,총무과,2006-11-21,기획행정,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,2006-12-29,없음,,,
495,서울특별시광진구 행정기구 설치 조례 일부개정조례안,총무과,2006-11-21,기획행정,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-19,부 결,없음,없음,없음,,,
495-1,서울특별시광진구 행정기구 설치 조례 일부개정조례안에 대한 수정안,곽근수,2006-12-18,기획행정,없음,없음,없음,제105회 정례회,2006-12-19,수정가결,2006-12-20,2006-12-29,없음,,,
496,서울특별시광진구 관광사업에 관한 과징금징수 조례 폐지조례안,문화체육과,2006-11-21,기획행정,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,2006-12-29,없음,,,
497,서울특별시광진구 기금관리 조례 일부개정조례안,기획공보과,2006-11-21,기획행정,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,2006-12-29,없음,,,
498,서울특별시광진구 청소년시설 설치 및 운영에 관한 조례안,사회복지과,2006-11-21,복지건설,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,수정가결,2006-12-20,2006-12-29,없음,,,
499,서울특별시광진구 주차장 설치 및 관리 조례 일부개정조례안,교통지도과,2006-11-21,복지건설,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,2006-12-29,없음,,,
500,광진구청장 및 관계공무원 출석요구안,없음,없음,없음,없음,없음,없음,제105회 정례회,2006-11-27,원안가결,없음,없음,없음,,,
501,2007년도 일반.특별회계 세입.세출예산안,기획공보과,2006-11-21,예산결산,2006-11-27,2006-12-01,없음,제105회 정례회,2006-12-19,수정가결,2006-12-20,없음,없음,,,
502,2007년도중기지방재정계획보고의건,기획공보과,2006-11-21,없음,없음,없음,없음,제105회 정례회,2006-11-27,보고,없음,없음,없음,,,
503,서울특별시광진구 사무위임 조례 일부개정조례안,총무과,2006-11-22,기획행정,2006-11-27,2006-11-30,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,2006.12.29(제463호),없음,,,
504,2007회계년도 기금운용계획안,기획공보과,2006-11-23,예산결산,2006-11-27,2006-12-01,없음,제105회 정례회,2006-12-15,원안가결,2006-12-20,없음,없음,,,
505,서울특별시광진구세 조례 일부개정조례안,이수진,2006-12-14,기획행정,2006-12-14,2006-12-18,없음,제105회 정례회,2006-12-19,원안가결,2006-12-20,2006-12-29,제468호,,,
506,국립서울병원 이전추진 특별위원회 구성 결의안,의원발의,2006-12-14,특별위원회,없음,없음,없음,제105회 정례회,2006-12-15,원안가결,없음,없음,없음,,,
507,국립서울병원 이전추진 특별위원회 활동계획안,의원발의,2006-12-19,특별위원회,없음,없음,없음,제105회 정례회,2006-12-19,원안가결,없음,없음,없음,,,
508,중곡역지구 제1종지구단위계획 변경에 관한 청원,추윤구,2007-01-18,복지건설,2007-02-23,2007-06-19,없음,제109회 정례회,2007-06-25,의견채택,2007-06-26,없음,없음,,,
509,국립서울병원 이전관련 주민간담회개최계획(안),의원발의,2007-01-22,특별위원회,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
510,서울특별시광진구세 감면 조례 전부개정조례안,세무1과,2007-02-02,기획행정,2007-02-23,2007-02-28,없음,제106회 임시회,2007-03-02,수정가결,2007-03-02,2007-03-21,제471호,,,
511,도시관리계획(안)변경결정에 관한 의견제시의 건,도시개발과,2007-02-02,복지건설,2007-02-23,2007-02-28,없음,제106회 임시회,2007-03-02,원안가결,2007-03-02,없음,없음,,,
512,광진구 자치법규 입법 및 운영에 관한 조례 일부개정조례안,기획공보과,2007-02-14,기획행정,2007-02-23,2007-02-28,없음,제106회 임시회,2007-03-02,원안가결,2007-03-02,2007-03-21,제472호,,,
513,광진구 수수료 징수조례 일부개정조례안,문화체육과,2007-02-14,기획행정,2007-02-23,2007-02-28,없음,제106회 임시회,2007-03-02,원안가결,2007-03-02,2007-03-21,제473호,,,
514,서울특별시광진구의회 회의규칙 일부개정규칙안,윤호영,2007-02-15,의회운영,2007-02-23,2007-02-28,없음,제106회 임시회,2007-03-02,원안가결,2007-03-02,없음,없음,,,
515,서울특별시광진구의회 입법.법률고문 운영조례안,추윤구,2007-02-15,의회운영,2007-02-23,2007-02-28,없음,제106회 임시회,2007-03-02,원안가결,2007-03-02,2007-03-21,제470호,,,
516,국립서울병원 이전추진 특별위원회활동보고의 건,위원장,2007-02-22,특별위원회,2007-07-23,2007-02-23,없음,제106회 임시회,2007-07-23,보고,없음,없음,없음,,,
517,공직자윤리위원회 구성 및 운영에관한 조례 일부개정조례안,감사담당관,2007-03-23,기획행정,2007-04-04,2007-04-05,없음,제107회 임시회,2007-04-09,원안가결,2007-04-09,2007-04-24,제474호,,,
