번호,의안명,제안자,제안일자,소관 위원회,위원회 회부일,위원회 의결일(상정일),위원회 처리결과,제안회기,본회의 의결일(상정일),본회의 처리결과,집행부 이송일,공포일자,공포번호,,,
34,서울특별시광진구행정기구설치조례중개정조례안,총무과,1998-11-12,총무재무,1998-11-16,1998-11-23,없음,제34회 임시회,1998-11-23,원안가결,1998-11-23,1998-11-25,제211호,,,
35,서울특별시광진구제2의건국범국민추진위원회설치및운영에관한조례안,총무과,1998-11-14,총무재무,1998-11-16,1998-11-23,없음,제34회 임시회,1998-11-23,원안가결,1998-11-23,1998-12-12,제212호,,,
36,99년도구유재산관리계획안,재산회계과,1998-11-25,총무재무,1998-11-28,1998-12-08,없음,제35회 정례회,1998-12-17,원안가결,1998-12-21,없음,없음,,,
37,1999년도 일반·특별회계세입·세출예산안,기획예산담당관,1998-11-20,예산결산,1998-12-02,1998-12-09,없음,제35회 정례회,1998-12-17,수정가결,1998-12-21,없음,없음,,,
38,98년도제14차~19차일반·특별회계세입·세출예산간주처리내역보고,기획예산담당관,1998-11-25,없음,없음,없음,없음,제35회 정례회,1998-12-25,보 고,없음,없음,없음,,,
39,98년도중기재정계획보고안,기획예산담당관,1998-11-25,없음,없음,없음,없음,제35회 정례회,1998-12-25,보 고,없음,없음,없음,,,
40,98년도제3회일반·특별회계세입·세출추가경정예산안,기획예산담당관,1998-11-25,예산결산,1998-12-02,1998-12-08,없음,제35회 정례회,1998-12-17,수정가결,1998-12-21,없음,없음,,,
41,1999회계년도기금운용계획안,기획예산담당관,1998-11-20,예산결산,1998-12-02,1998-12-08,없음,제35회 정례회,1998-12-17,원안가결,1998-12-21,없음,없음,,,
42,서울특별시광진구세감면조례중개정조례안,세무1과,1998-12-08,총무재무,1998-12-08,1998-12-08,없음,제35회 정례회,1998-12-17,원안가결,1998-12-21,1998-12-31,없음,,,
43,1998년도제3회일반·특별회계세입·세출추가경정예산안수정예산안,기획공보과,1998-12-09,예산결산특위,1998-12-09,없음,없음,제35회 정례회,1998-12-17,수정가결,1998-12-21,없음,없음,,,
44,98년도제20차~23차일반회계세입·세출예산간주처리내역보고,기획공보과,1999-01-02,없음,없음,없음,없음,제36회 임시회,1999-02-23,없음,없음,없음,없음,,,
45,서울특별시광진구재난관리기금운용관리조례안,민방위과,1999-01-07,총무재무,1999-02-19,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
46,서울특별시광진구구유재산관리조례중개정조례안,재무과,1999-02-05,총무재무,1999-02-19,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
47,서울특별시광진구물품관리조례중개정조례안,재무과,1999-02-05,총무재무,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
48,서울특별시광진구별정직공무원인사관리조례중개정조례안,총무과,1999-02-06,총무재무,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
49,서울특별시광진구주차장특별회계설치조례중개정조례안,교통지도과,1999-02-06,시민건설,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
50,서울특별시광진구부조리신고포상금지급에관한조례안,감사담당관,1999-02-09,총무재무,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
51,서울특별시광진구통·반설치조례중개정조례안,총무과,1999-02-09,총무재무,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,수정가결,1999-03-05,1999.03.26,없음,,,
52,서울특별시광진구새마을이동도서관위탁운영에관한조례폐지조례안,사회문화과,1999-02-09,총무재무,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
53,서울특별시광진구의회위원회조례중개정조례안,나종한의원외4인,1999-02-09,의회운영,1999-02-09,1999-02-27,없음,제36회 임시회,1999-03-02,원안가결,1999-03-05,1999.03.26,없음,,,
54,재해대책및관급공사조사특별위원회조사활동결과보고의건,조사특위위원장,1999-02-22,재해특위,없음,1999-02-27,없음,제36회 임시회,1999-03-02,보고서채택,1999-03-05,없음,없음,,,
55,서울특별시광진구도로굴착복구기금설치조례안,도로과,1999-04-23,복지건설,1999-04-26,1999-05-10,없음,제37회 임시회,1999-03-02,원안가결,1999-05-11,1999.05.31,없음,,,
56,서울특별시광진구자동차운수사업에관한과징금징수조례페지조례안,교통지도과,1999-04-22,복지건설,1999-04-26,1999-05-10,없음,제37회 임시회,1999-05-11,원안가결,1999-05-11,1999.05.31,없음,,,
57,서울특별시광진구사무의민간위탁촉진및관리조례안,총무과,1999-04-23,기획행정,1999-04-26,1999-05-10,없음,제37회 임시회,1999-05-11,기획행정위부결,없음,없음,없음,,,
58,서울특별시광진구세감면조례중개정조례안,세무1과,1999-04-23,기획행정,1999-04-26,1999-05-11,없음,제37회 임시회,1999-05-11,원안가결,1999-05-11,1999.05.31,없음,,,
59,서울특별시광진구지방공무원직장협의회설립운영에관한조례안,총무과,1999-04-23,기획행정,1999-04-26,1999-05-11,없음,제37회 임시회,1999-05-11,원안가결,1999-05-11,1999.05.31,없음,,,
60,99년도서울특별시광진구구유재산관리계획변경안,재무과,1999-05-01,기획행정,1999-05-01,1999-05-11,없음,제37회 임시회,1999-05-11,원안가결,1999-05-11,없음,없음,,,
61,99년도서울특별시광진구구유재산관리계획변경안,재무과,1999-06-12,기획행정,1999-06-15,1999-06-21,없음,제38회 임시회,1999-06-21,원안가결,1999-06-22,없음,없음,,,
