업체명,법인기업여부,최종업종코드,최종업종명,보증취급일자,취급종류,자금용도,보증상대처,보증금액범위
진****,여,C13409,섬유제품 기타 정리 및 마무리 가공업,2020-08-07,대출보증,운전자금,기업은행,1억이상 3억미만
미****,여,G46313,육류 도매업,2020-04-24,대출보증,운전자금,기업은행,1억이상 3억미만
은****,부,G46733,플라스틱물질 및 합성고무 도매업,2020-09-18,대출보증,운전자금,기업은행,1억미만
태****,부,G46332,비알코올음료 도매업,2020-05-08,대출보증,운전자금,기업은행,1억미만
이****,여,M71310,광고 대행업,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,G46593,정밀기기 및 과학기기 도매업,2020-12-16,대출보증,운전자금,기업은행,1억이상 3억미만
성****,여,C25119,기타 구조용 금속제품 제조업,2020-07-30,대출보증,운전자금,신한은행,1억미만
한****,여,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",2020-05-26,대출보증,운전자금,신한은행,1억이상 3억미만
시****,여,G46521,가전제품 및 부품 도매업,2020-09-01,대출보증,운전자금,기업은행,1억미만
로****,여,G46699,그 외 기타 건축자재 도매업,2020-05-14,대출보증,운전자금,기업은행,1억이상 3억미만
제****,부,G46312,"채소류, 서류 및 향신작물류 도매업",2020-10-29,대출보증,운전자금,신한은행,1억이상 3억미만
진****,여,E38110,"지정 외 폐기물 수집, 운반업",2020-08-05,대출보증,운전자금,신한은행,1억이상 3억미만
일****,여,G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업,2020-06-11,대출보증,운전자금,대구은행,1억이상 3억미만
진****,여,C25111,"금속 문, 창, 셔터 및 관련제품 제조업",2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
대****,부,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-05-12,대출보증,운전자금,기업은행,1억이상 3억미만
멀****,여,S95110,컴퓨터 및 주변 기기 수리업,2020-10-21,대출보증,운전자금,기업은행,1억미만
해****,여,H49301,일반 화물자동차 운송업,2020-07-23,대출보증,운전자금,기업은행,5억이상
유****,여,C13219,특수 직물 및 기타 직물 직조업,2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
디****,여,G46441,의약품 도매업,2020-12-01,대출보증,운전자금,기업은행,3억이상 5억미만
계****,여,F42132,콘크리트 및 철근 공사업,2020-11-10,대출보증,운전자금,기업은행,1억이상 3억미만
마****,부,G47711,운송장비용 주유소 운영업,2020-03-10,대출보증,운전자금,기업은행,1억이상 3억미만
유****,여,C32029,기타 목재가구 제조업,2020-07-01,대출보증,운전자금,기업은행,1억이상 3억미만
청****,여,G46329,기타 가공식품 도매업,2020-10-16,대출보증,운전자금,기업은행,1억이상 3억미만
롯****,여,G47121,슈퍼마켓,2020-07-27,대출보증,운전자금,기업은행,1억이상 3억미만
강****,여,C29210,농업 및 임업용 기계 제조업,2020-07-13,대출보증,운전자금,신한은행,1억이상 3억미만
해****,여,G46201,곡물 및 유지작물 도매업,2020-08-21,대출보증,운전자금,신한은행,3억이상 5억미만
닥****,여,P85631,외국어학원,2020-04-09,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,G46313,육류 도매업,2020-10-27,대출보증,운전자금,기업은행,3억이상 5억미만
신****,여,G46313,육류 도매업,2020-09-02,대출보증,운전자금,기업은행,1억이상 3억미만
세****,여,E38130,"건설 폐기물 수집, 운반업",2020-06-03,대출보증,운전자금,기업은행,1억이상 3억미만
승****,여,H49301,일반 화물자동차 운송업,2020-08-24,대출보증,운전자금,기업은행,1억이상 3억미만
다****,여,G46691,도료 도매업,2020-11-11,대출보증,운전자금,기업은행,1억이상 3억미만
유****,부,G46712,액체연료 및 관련제품 도매업,2020-08-21,대출보증,운전자금,기업은행,1억미만
구****,여,N76310,건설 및 토목공사용 기계ㆍ장비 임대업,2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
현****,부,C29120,유압기기 제조업,2020-09-03,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,G46329,기타 가공식품 도매업,2020-04-08,대출보증,운전자금,기업은행,1억이상 3억미만
가****,여,G46319,기타 신선식품 및 단순 가공식품 도매업,2020-04-06,대출보증,운전자금,기업은행,3억이상 5억미만
우****,부,C25932,일반철물 제조업,2020-11-17,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,G46329,기타 가공식품 도매업,2020-03-26,대출보증,운전자금,기업은행,1억이상 3억미만
태****,여,F42311,일반전기 공사업,2020-10-06,대출보증,운전자금,기업은행,1억이상 3억미만
화****,여,C20499,그 외 기타 분류 안된 화학제품 제조업,2020-03-24,대출보증,운전자금,기업은행,1억이상 3억미만
문****,여,G46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,2020-05-15,대출보증,운전자금,기업은행,1억이상 3억미만
삼****,여,C10749,기타 식품 첨가물 제조업,2020-04-14,대출보증,운전자금,기업은행,1억이상 3억미만
가****,여,G46521,가전제품 및 부품 도매업,2020-04-10,대출보증,운전자금,신한은행,1억이상 3억미만
승****,여,C20499,그 외 기타 분류 안된 화학제품 제조업,2020-11-26,대출보증,운전자금,기업은행,3억이상 5억미만
두****,부,G46102,음ㆍ식료품 및 담배 중개업,2020-04-07,대출보증,운전자금,기업은행,1억이상 3억미만
으****,여,C10302,과실 및 그 외 채소 절임식품 제조업,2020-12-22,대출보증,운전자금,신한은행,3억이상 5억미만
롯****,여,G47121,슈퍼마켓,2020-07-27,대출보증,운전자금,기업은행,1억이상 3억미만
푸****,부,G47121,슈퍼마켓,2020-03-17,대출보증,운전자금,기업은행,1억이상 3억미만
장****,여,H49301,일반 화물자동차 운송업,2020-06-18,대출보증,운전자금,기업은행,3억이상 5억미만
카****,여,S95211,자동차 종합 수리업,2020-05-18,대출보증,운전자금,기업은행,1억이상 3억미만
목****,여,C25122,금속탱크 및 저장용기 제조업,2020-12-18,대출보증,운전자금,기업은행,3억이상 5억미만
동****,부,C10129,육류 기타 가공 및 저장처리업 (가금류 제외),2020-11-11,대출보증,운전자금,대구은행,1억미만
신****,여,C15110,모피 및 가죽 제조업,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
제****,부,G46592,의료기기 도매업,2020-03-31,대출보증,운전자금,기업은행,1억미만
남****,여,G47121,슈퍼마켓,2020-09-09,대출보증,운전자금,기업은행,5억이상
대****,여,C18119,기타 인쇄업,2020-09-23,대출보증,운전자금,기업은행,5억이상
파****,부,G47320,가전제품 소매업,2020-09-17,대출보증,운전자금,신한은행,1억미만
한****,여,G46712,액체연료 및 관련제품 도매업,2020-05-08,대출보증,운전자금,신한은행,1억이상 3억미만
승****,여,H49301,일반 화물자동차 운송업,2020-06-15,대출보증,운전자금,신한은행,1억이상 3억미만
한****,여,F42420,유리 및 창호 공사업,2020-11-27,대출보증,운전자금,기업은행,5억이상
춘****,여,S95211,자동차 종합 수리업,2020-05-11,대출보증,운전자금,신한은행,1억이상 3억미만
성****,여,C26295,전자감지장치 제조업,2020-04-29,대출보증,운전자금,대구은행,1억이상 3억미만
목****,여,M72111,건축설계 및 관련 서비스업,2020-02-06,대출보증,운전자금,기업은행,5억이상
지****,부,C14499,그 외 기타 의복액세서리 제조업,2020-03-06,대출보증,운전자금,기업은행,1억미만
청****,여,C10212,수산동물 건조 및 염장품 제조업,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
장****,부,G47711,운송장비용 주유소 운영업,2020-08-20,대출보증,운전자금,신한은행,1억이상 3억미만
명****,여,C13213,화학섬유직물 직조업,2020-05-15,대출보증,운전자금,기업은행,1억미만
신****,부,G46313,육류 도매업,2020-02-27,대출보증,운전자금,기업은행,1억미만
태****,여,C24131,주철관 제조업,2020-03-25,대출보증,운전자금,기업은행,3억이상 5억미만
홈****,여,C13221,침구 및 관련제품 제조업,2020-04-07,대출보증,운전자금,기업은행,1억이상 3억미만
영****,부,G47711,운송장비용 주유소 운영업,2020-01-17,대출보증,운전자금,기업은행,1억이상 3억미만
세****,여,G46442,의료용품 도매업,2020-10-13,대출보증,운전자금,신한은행,5억이상
에****,여,G46699,그 외 기타 건축자재 도매업,2020-09-24,대출보증,운전자금,기업은행,3억이상 5억미만
하****,부,G47121,슈퍼마켓,2020-11-30,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,C13211,면직물 직조업,2020-11-12,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,C25991,금속 캔 및 기타 포장용기 제조업,2020-09-16,대출보증,운전자금,기업은행,5억이상
태****,부,G46599,그 외 기타 기계 및 장비 도매업,2020-08-14,대출보증,운전자금,신한은행,1억이상 3억미만
에****,여,G47912,전자상거래 소매업,2020-08-31,대출보증,운전자금,기업은행,3억이상 5억미만
기****,부,G47711,운송장비용 주유소 운영업,2020-04-14,대출보증,운전자금,기업은행,1억미만
파****,여,G46499,그 외 기타 생활용품 도매업,2020-03-10,대출보증,운전자금,기업은행,1억이상 3억미만
금****,여,G46319,기타 신선식품 및 단순 가공식품 도매업,2020-04-22,대출보증,운전자금,기업은행,3억이상 5억미만
에****,여,C29199,그 외 기타 일반목적용 기계 제조업,2020-10-29,대출보증,운전자금,신한은행,1억이상 3억미만
에****,여,C29199,그 외 기타 일반목적용 기계 제조업,2020-10-29,대출보증,운전자금,기업은행,1억이상 3억미만
골****,여,G47912,전자상거래 소매업,2020-09-03,대출보증,운전자금,기업은행,5억이상
비****,여,G46712,액체연료 및 관련제품 도매업,2020-10-28,대출보증,운전자금,기업은행,1억이상 3억미만
일****,여,C14111,남자용 겉옷 제조업,2020-09-29,대출보증,운전자금,기업은행,1억이상 3억미만
오****,부,G46599,그 외 기타 기계 및 장비 도매업,2020-04-21,대출보증,운전자금,기업은행,1억이상 3억미만
엘****,여,C29294,주형 및 금형 제조업,2020-02-20,대출보증,운전자금,기업은행,1억미만
더****,여,F41226,조경 건설업,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
티****,여,G47312,통신기기 소매업,2020-11-23,대출보증,운전자금,신한은행,1억이상 3억미만
용****,여,G47711,운송장비용 주유소 운영업,2020-12-09,대출보증,운전자금,기업은행,1억이상 3억미만
맥****,여,C10129,육류 기타 가공 및 저장처리업 (가금류 제외),2020-07-02,대출보증,운전자금,기업은행,1억이상 3억미만
삼****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-09-11,대출보증,운전자금,기업은행,5억이상
선****,여,G46799,그 외 기타 상품 전문 도매업,2020-04-27,대출보증,운전자금,신한은행,1억이상 3억미만
농****,여,G46312,"채소류, 서류 및 향신작물류 도매업",2020-10-30,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,G47419,기타 의복 소매업,2020-05-14,대출보증,운전자금,기업은행,1억미만
에****,여,G47412,여자용 겉옷 소매업,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
랩****,부,G47912,전자상거래 소매업,2020-09-23,대출보증,운전자금,신한은행,1억이상 3억미만
신****,여,G46313,육류 도매업,2020-09-04,대출보증,운전자금,기업은행,1억이상 3억미만
키****,여,G46313,육류 도매업,2020-05-14,대출보증,운전자금,신한은행,1억이상 3억미만
제****,여,G46721,1차 금속제품 도매업,2020-05-29,대출보증,운전자금,신한은행,1억이상 3억미만
핸****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-04-20,대출보증,운전자금,기업은행,1억이상 3억미만
코****,여,G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
시****,여,C32099,그 외 기타 가구 제조업,2020-08-24,대출보증,운전자금,기업은행,1억미만
장****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-11-16,대출보증,운전자금,기업은행,1억이상 3억미만
키****,여,G46721,1차 금속제품 도매업,2020-09-18,대출보증,운전자금,기업은행,3억이상 5억미만
춘****,여,G46791,재생용 재료 수집 및 판매업,2020-11-17,대출보증,운전자금,기업은행,1억이상 3억미만
티****,여,C25119,기타 구조용 금속제품 제조업,2020-04-16,대출보증,운전자금,기업은행,1억이상 3억미만
한****,부,G46313,육류 도매업,2020-03-19,대출보증,운전자금,기업은행,1억이상 3억미만
아****,여,G46732,비료 및 농약 도매업,2020-09-15,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,C13999,그 외 기타 분류 안된 섬유제품 제조업,2020-09-18,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,G47912,전자상거래 소매업,2020-07-01,대출보증,운전자금,신한은행,1억이상 3억미만
더****,여,G47912,전자상거래 소매업,2020-04-27,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,F41210,지반조성 건설업,2020-10-22,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-11-02,대출보증,운전자금,신한은행,1억이상 3억미만
마****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-04-21,대출보증,운전자금,신한은행,1억이상 3억미만
일****,여,C29299,그 외 기타 특수목적용 기계 제조업,2020-12-17,대출보증,운전자금,기업은행,3억이상 5억미만
바****,여,G46442,의료용품 도매업,2020-12-02,대출보증,운전자금,신한은행,1억이상 3억미만
서****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-06-16,대출보증,운전자금,신한은행,1억이상 3억미만
차****,여,C10749,기타 식품 첨가물 제조업,2020-08-03,대출보증,운전자금,기업은행,1억이상 3억미만
엘****,여,F42201,배관 및 냉ㆍ난방 공사업,2020-04-24,대출보증,운전자금,기업은행,1억이상 3억미만
엘****,여,F42201,배관 및 냉ㆍ난방 공사업,2020-04-28,대출보증,운전자금,기업은행,1억이상 3억미만
켐****,여,G46712,액체연료 및 관련제품 도매업,2020-09-11,대출보증,운전자금,기업은행,5억이상
대****,여,C17211,골판지 제조업,2020-04-16,대출보증,운전자금,대구은행,1억이상 3억미만
가****,부,G47711,운송장비용 주유소 운영업,2020-02-06,대출보증,운전자금,기업은행,1억이상 3억미만
화****,부,C22199,그 외 기타 고무제품 제조업,2020-05-25,대출보증,운전자금,기업은행,1억미만
굿****,여,H49232,전세버스 운송업,2020-09-25,대출보증,운전자금,기업은행,1억이상 3억미만
누****,여,G46721,1차 금속제품 도매업,2020-04-24,대출보증,운전자금,기업은행,1억이상 3억미만
본****,부,G47711,운송장비용 주유소 운영업,2020-04-29,대출보증,운전자금,대구은행,1억이상 3억미만
비****,부,C26299,그 외 기타 전자부품 제조업,2020-08-18,대출보증,운전자금,기업은행,1억미만
아****,여,N75992,"전시, 컨벤션 및 행사 대행업",2020-03-12,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,H49232,전세버스 운송업,2020-03-13,대출보증,운전자금,기업은행,1억이상 3억미만
랩****,여,G46442,의료용품 도매업,2020-01-17,대출보증,운전자금,기업은행,1억이상 3억미만
와****,부,C29223,금속 절삭기계 제조업,2020-04-17,대출보증,운전자금,기업은행,1억이상 3억미만
우****,부,G45212,자동차용 전용 신품 부품 판매업,2020-04-07,대출보증,운전자금,기업은행,1억미만
창****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-05-22,대출보증,운전자금,기업은행,1억이상 3억미만
화****,여,G46319,기타 신선식품 및 단순 가공식품 도매업,2020-08-25,대출보증,운전자금,대구은행,1억이상 3억미만
고****,여,F42499,그 외 기타 건축 마무리 공사업,2020-10-13,대출보증,운전자금,대구은행,1억이상 3억미만
이****,여,F42132,콘크리트 및 철근 공사업,2020-07-31,대출보증,운전자금,기업은행,1억이상 3억미만
스****,여,G46721,1차 금속제품 도매업,2020-09-15,대출보증,운전자금,기업은행,1억이상 3억미만
훈****,여,G46721,1차 금속제품 도매업,2020-11-23,대출보증,운전자금,대구은행,1억이상 3억미만
행****,부,S96991,예식장업,2020-10-07,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,G46322,수산물 가공식품 도매업,2020-10-27,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,G46721,1차 금속제품 도매업,2020-08-26,대출보증,운전자금,기업은행,1억이상 3억미만
동****,부,Q86203,한의원,2020-04-14,대출보증,운전자금,기업은행,1억이상 3억미만
영****,여,G46329,기타 가공식품 도매업,2020-02-17,대출보증,운전자금,기업은행,1억이상 3억미만
영****,부,G46329,기타 가공식품 도매업,2020-11-09,대출보증,운전자금,신한은행,1억이상 3억미만
송****,여,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-12-01,대출보증,운전자금,기업은행,3억이상 5억미만
아****,여,C13999,그 외 기타 분류 안된 섬유제품 제조업,2020-10-20,대출보증,운전자금,기업은행,1억이상 3억미만
삼****,여,C13104,연사 및 가공사 제조업,2020-10-28,대출보증,운전자금,대구은행,1억이상 3억미만
한****,여,F42311,일반전기 공사업,2020-11-23,대출보증,운전자금,기업은행,5억이상
오****,여,C10213,수산동물 냉동품 제조업,2020-09-10,대출보증,운전자금,기업은행,5억이상
마****,여,C13221,침구 및 관련제품 제조업,2020-04-10,대출보증,운전자금,기업은행,1억이상 3억미만
엘****,여,G46491,가방 및 보호용 케이스 도매업,2020-04-24,대출보증,운전자금,신한은행,1억미만
명****,여,C28121,"전기회로 개폐, 보호장치 제조업",2020-11-23,대출보증,운전자금,기업은행,1억이상 3억미만
코****,여,G46592,의료기기 도매업,2020-11-16,대출보증,운전자금,기업은행,5억이상
킹****,부,G47121,슈퍼마켓,2020-05-13,대출보증,운전자금,기업은행,1억미만
대****,여,C17212,골판지 상자 및 가공제품 제조업,2020-09-16,대출보증,운전자금,기업은행,1억이상 3억미만
디****,여,C14112,여자용 겉옷 제조업,2020-03-27,대출보증,운전자금,기업은행,1억미만
화****,여,C25932,일반철물 제조업,2020-09-04,대출보증,운전자금,기업은행,1억이상 3억미만
디****,여,F42322,내부 통신배선 공사업,2020-05-29,대출보증,운전자금,신한은행,1억이상 3억미만
판****,여,G46611,원목 및 건축관련 목제품 도매업,2020-12-17,대출보증,운전자금,기업은행,1억이상 3억미만
썬****,부,G46721,1차 금속제품 도매업,2020-07-30,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C25113,육상 금속 골조 구조재 제조업,2020-05-13,대출보증,운전자금,기업은행,1억이상 3억미만
준****,부,C25924,절삭가공 및 유사처리업,2020-10-23,대출보증,운전자금,기업은행,1억이상 3억미만
다****,여,H49219,기타 도시 정기 육상 여객 운송업,2020-04-01,대출보증,운전자금,기업은행,1억미만
코****,여,C30332,자동차용 신품 전기장치 제조업,2020-05-22,대출보증,운전자금,신한은행,5억이상
인****,여,C26322,컴퓨터 모니터 제조업,2020-05-15,대출보증,운전자금,신한은행,1억이상 3억미만
화****,여,G45211,자동차 신품 타이어 및 튜브 판매업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
강****,여,G46721,1차 금속제품 도매업,2020-11-17,대출보증,운전자금,기업은행,1억이상 3억미만
가****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-11-04,대출보증,운전자금,기업은행,1억이상 3억미만
광****,여,C24211,"동 제련, 정련 및 합금 제조업",2020-04-16,대출보증,운전자금,기업은행,3억이상 5억미만
엠****,여,C30320,자동차 차체용 신품 부품 제조업,2020-03-17,대출보증,운전자금,기업은행,1억미만
키****,여,G45110,자동차 신품 판매업,2020-07-17,대출보증,운전자금,기업은행,1억미만
블****,여,G46742,직물 도매업,2020-03-27,대출보증,운전자금,기업은행,1억이상 3억미만
블****,여,G46742,직물 도매업,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
펜****,여,C17901,문구용 종이제품 제조업,2020-06-01,대출보증,운전자금,신한은행,1억이상 3억미만
가****,여,G46721,1차 금속제품 도매업,2020-03-23,대출보증,운전자금,기업은행,1억미만
동****,여,G46419,기타 생활용 섬유 및 직물제품 도매업,2020-06-24,대출보증,운전자금,신한은행,1억이상 3억미만
에****,여,G46521,가전제품 및 부품 도매업,2020-10-14,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,G46521,가전제품 및 부품 도매업,2020-10-15,대출보증,운전자금,기업은행,1억이상 3억미만
조****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-09-16,대출보증,운전자금,기업은행,3억이상 5억미만
브****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-09-25,대출보증,운전자금,기업은행,1억이상 3억미만
카****,여,G46420,신발 도매업,2020-11-26,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,H49301,일반 화물자동차 운송업,2020-05-14,대출보증,운전자금,기업은행,1억이상 3억미만
아****,여,G46593,정밀기기 및 과학기기 도매업,2020-09-16,대출보증,운전자금,기업은행,1억미만
경****,여,C25119,기타 구조용 금속제품 제조업,2020-12-07,대출보증,운전자금,기업은행,1억이상 3억미만
커****,여,C18119,기타 인쇄업,2020-10-13,대출보증,운전자금,기업은행,1억이상 3억미만
정****,여,E38312,금속류 원료 재생업,2020-05-25,대출보증,운전자금,기업은행,1억미만
대****,여,H49232,전세버스 운송업,2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
지****,여,G45120,중고 자동차 판매업,2020-03-20,대출보증,운전자금,기업은행,1억미만
누****,여,Q86105,요양 병원,2020-04-28,대출보증,운전자금,기업은행,1억이상 3억미만
F****,부,G46442,의료용품 도매업,2020-05-13,대출보증,운전자금,기업은행,1억미만
씨****,여,G46442,의료용품 도매업,2020-04-27,대출보증,운전자금,기업은행,1억이상 3억미만
테****,여,G46417,의복 액세서리 및 모조 장신구 도매업,2020-03-13,대출보증,운전자금,기업은행,1억미만
석****,여,H50112,외항 화물 운송업,2020-04-20,대출보증,운전자금,신한은행,1억이상 3억미만
노****,여,M71109,기타 법무관련 서비스업,2020-09-04,대출보증,운전자금,신한은행,1억이상 3억미만
엠****,여,G46522,통신ㆍ방송장비 및 부품 도매업,2020-08-14,대출보증,운전자금,기업은행,1억미만
유****,여,G47312,통신기기 소매업,2020-03-27,대출보증,운전자금,신한은행,3억이상 5억미만
탑****,부,G47711,운송장비용 주유소 운영업,2020-03-10,대출보증,운전자금,기업은행,1억이상 3억미만
꿈****,여,G47912,전자상거래 소매업,2020-12-09,대출보증,운전자금,신한은행,1억이상 3억미만
태****,여,F42110,건물 및 구축물 해체 공사업,2020-01-21,대출보증,운전자금,기업은행,1억미만
아****,여,C27212,"전자기 측정, 시험 및 분석기구 제조업",2020-05-07,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,F42311,일반전기 공사업,2020-06-03,대출보증,운전자금,기업은행,1억이상 3억미만
부****,부,Q86105,요양 병원,2020-03-27,대출보증,운전자금,기업은행,5억이상
한****,여,G47520,가구 소매업,2020-08-04,대출보증,운전자금,기업은행,1억이상 3억미만
영****,여,C24123,철강선 제조업,2020-08-21,대출보증,운전자금,기업은행,1억이상 3억미만
드****,여,G47121,슈퍼마켓,2020-06-09,대출보증,운전자금,신한은행,5억이상
드****,여,G47121,슈퍼마켓,2020-08-04,대출보증,운전자금,신한은행,5억이상
온****,여,H52913,물류 터미널 운영업,2020-04-10,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-05-28,대출보증,운전자금,신한은행,1억이상 3억미만
켐****,여,C20499,그 외 기타 분류 안된 화학제품 제조업,2020-05-12,대출보증,운전자금,대구은행,1억미만
성****,부,C22212,플라스틱 필름 제조업,2020-07-20,대출보증,운전자금,신한은행,1억이상 3억미만
성****,부,C22212,플라스틱 필름 제조업,2020-08-10,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,G46799,그 외 기타 상품 전문 도매업,2020-03-17,대출보증,운전자금,기업은행,5억이상
제****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-04-01,대출보증,운전자금,기업은행,1억이상 3억미만
영****,여,C27309,기타 광학기기 제조업,2020-08-07,대출보증,운전자금,기업은행,1억이상 3억미만
오****,여,C13221,침구 및 관련제품 제조업,2020-03-16,대출보증,운전자금,기업은행,3억이상 5억미만
하****,여,F42491,"미장, 타일 및 방수 공사업",2020-11-04,대출보증,운전자금,신한은행,1억이상 3억미만
에****,여,G46329,기타 가공식품 도매업,2020-05-15,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,H50122,내항 화물 운송업,2020-04-20,대출보증,운전자금,기업은행,1억미만
채****,여,C23993,비금속광물 분쇄물 생산업,2020-03-30,대출보증,운전자금,기업은행,1억이상 3억미만
하****,여,G46329,기타 가공식품 도매업,2020-10-16,대출보증,운전자금,기업은행,5억이상
대****,여,C23993,비금속광물 분쇄물 생산업,2020-11-19,대출보증,운전자금,기업은행,1억이상 3억미만
셀****,여,C29299,그 외 기타 특수목적용 기계 제조업,2020-05-22,대출보증,운전자금,대구은행,3억이상 5억미만
엠****,여,G46592,의료기기 도매업,2020-11-12,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,N75121,임시 및 일용 인력 공급업,2020-04-24,대출보증,운전자금,기업은행,1억이상 3억미만
봉****,여,C25911,분말 야금제품 제조업,2020-08-12,대출보증,운전자금,대구은행,1억이상 3억미만
디****,여,G46499,그 외 기타 생활용품 도매업,2020-10-08,대출보증,운전자금,신한은행,1억이상 3억미만
플****,여,P85631,외국어학원,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,G46612,"골재, 벽돌 및 시멘트 도매업",2020-06-16,대출보증,운전자금,기업은행,5억이상
엘****,여,C28123,배전반 및 전기 자동제어반 제조업,2020-05-21,대출보증,운전자금,기업은행,1억이상 3억미만
청****,여,C17902,위생용 종이제품 제조업,2020-07-06,대출보증,운전자금,기업은행,1억이상 3억미만
레****,부,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-07-06,대출보증,운전자금,기업은행,1억미만
대****,여,H49301,일반 화물자동차 운송업,2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
인****,여,C10302,과실 및 그 외 채소 절임식품 제조업,2020-07-28,대출보증,운전자금,신한은행,1억미만
씨****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-03-09,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,C26129,기타 반도체소자 제조업,2020-05-28,대출보증,운전자금,기업은행,1억이상 3억미만
오****,여,G46499,그 외 기타 생활용품 도매업,2020-02-27,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,G46712,액체연료 및 관련제품 도매업,2020-06-08,대출보증,운전자금,기업은행,1억미만
춘****,부,G46313,육류 도매업,2020-04-22,대출보증,운전자금,기업은행,1억미만
가****,여,C25119,기타 구조용 금속제품 제조업,2020-08-13,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,G46313,육류 도매업,2020-02-27,대출보증,운전자금,기업은행,1억미만
제****,여,G46313,육류 도매업,2020-03-02,대출보증,운전자금,기업은행,1억미만
계****,여,G46313,육류 도매업,2020-01-07,대출보증,운전자금,기업은행,1억이상 3억미만
정****,여,C33110,귀금속 및 관련제품 제조업,2020-05-12,대출보증,운전자금,기업은행,1억이상 3억미만
푸****,여,G46329,기타 가공식품 도매업,2020-02-14,대출보증,운전자금,기업은행,1억이상 3억미만
메****,여,G46442,의료용품 도매업,2020-03-06,대출보증,운전자금,기업은행,1억미만
원****,여,C29294,주형 및 금형 제조업,2020-04-14,대출보증,운전자금,기업은행,1억이상 3억미만
메****,여,C13224,"천막, 텐트 및 유사 제품 제조업",2020-08-04,대출보증,운전자금,기업은행,1억이상 3억미만
시****,여,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-11-24,대출보증,운전자금,대구은행,1억이상 3억미만
일****,여,G46699,그 외 기타 건축자재 도매업,2020-06-09,대출보증,운전자금,기업은행,1억미만
다****,여,C10713,과자류 및 코코아 제품 제조업,2020-09-29,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,C23212,부정형 내화 요업제품 제조업,2020-09-09,대출보증,운전자금,기업은행,3억이상 5억미만
천****,여,C23994,암면 및 유사제품 제조업,2020-04-07,대출보증,운전자금,기업은행,1억이상 3억미만
