일련번호,용도,업종,규모,신용평가기관,등급,발행일,표면금리
1,차환,도매 및 소매업,소기업,신보,K2,2016-02-25,2.93
2,차환,제조업,소기업,신보,K2,2016-02-25,3.03
3,차환,제조업,중기업,신보,K2,2016-02-25,3.03
4,차환,제조업,중기업,신보,K3,2016-02-25,3.33
5,차환,도매 및 소매업,중기업,신보,K3,2016-02-25,3.33
6,차환,도매 및 소매업,중기업,신보,K3,2016-02-25,3.33
7,차환,도매 및 소매업,중기업,신보,K4,2016-02-25,3.53
8,차환,제조업,중기업,신보,K4,2016-02-25,3.53
9,차환,도매 및 소매업,중기업,신보,K4,2016-02-25,3.53
10,차환,제조업,소기업,신보,K4,2016-02-25,3.53
11,차환,도매 및 소매업,중기업,신보,K4,2016-02-25,3.53
12,차환,제조업,소기업,신보,K5,2016-02-25,3.73
13,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
14,차환,제조업,소기업,신보,K5,2016-02-25,3.73
15,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K5,2016-02-25,3.73
16,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K5,2016-02-25,3.73
17,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
18,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
19,차환,제조업,중기업,신보,K5,2016-02-25,3.73
20,차환,통신업,중기업,신보,K6,2016-02-25,3.73
21,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
22,차환,건설업,중견기업,신평사,BBB-,2016-02-25,3.83
23,차환,제조업,소기업,신보,K5,2016-02-25,3.83
24,차환,제조업,중기업,신보,K5,2016-02-25,3.83
25,차환,제조업,중기업,신보,K6,2016-02-25,3.93
26,차환,제조업,소기업,신보,K6,2016-02-25,3.93
27,차환,제조업,소기업,신보,K7,2016-02-25,4.03
28,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K6,2016-02-25,4.03
29,차환,도매 및 소매업,중기업,신보,K7,2016-02-25,4.13
30,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K7,2016-02-25,4.13
31,차환,도매 및 소매업,중기업,신보,K7,2016-02-25,4.13
32,차환,도매 및 소매업,중기업,신보,K7,2016-02-25,4.23
33,차환,도매 및 소매업,소기업,신보,K8,2016-02-25,4.23
34,차환,건설업,중견기업,신평사,BB+,2016-02-25,4.33
35,차환,건설업,중견기업,신평사,BB+,2016-02-25,4.33
36,차환,건설업,중견기업,신평사,BB+,2016-02-25,4.33
37,차환,숙박음식업,중기업,신보,K9,2016-02-25,4.33
38,차환,도매 및 소매업,중기업,신보,K8,2016-02-25,4.33
39,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K8,2016-02-25,4.33
40,차환,육상 운송 및 파이프라인 운송업,한시성중소기업,신보,K8,2016-02-25,4.43
41,차환,도매 및 소매업,중기업,신보,K8,2016-02-25,4.43
42,차환,건설업,중견기업,신평사,BB,2016-02-25,4.53
43,차환,건설업,소기업,신보,K9,2016-02-25,4.53
44,차환,도매 및 소매업,중기업,신보,K9,2016-02-25,4.53
45,차환,"영화, 방송 및 공연산업",소기업,신보,K9,2016-02-25,4.53
46,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K9,2016-02-25,4.63
47,차환,도매 및 소매업,소기업,신보,K10,2016-02-25,4.73
48,차환,제조업,중기업,신보,K11,2016-02-25,4.93
49,차환,제조업,중기업,신보,K14,2016-02-25,5.03
50,차환,도매 및 소매업,중기업,신보,K15,2016-02-25,5.03
51,차환,건설업,소기업,신보,K11,2016-02-25,5.03
52,차환,건설업,중기업,신보,K11,2016-02-25,5.13
53,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K14,2016-02-25,5.13
54,차환,건설업,소기업,신보,K14,2016-02-25,5.13
55,차환,건설업,소기업,신보,K15,2016-02-25,5.13
56,차환,제조업,중기업,신보,K14,2016-02-25,5.13
57,차환,도매 및 소매업,중기업,신보,K13,2016-02-25,5.23
58,차환,제조업,소기업,신보,K12,2016-02-25,5.33
59,차환,건설업,소기업,신보,K12,2016-02-25,5.33
60,차환,육상 운송 및 파이프라인 운송업,대기업,신평사,BB,2015-10-22,10.15
61,신규,제조업,소기업,신보,K1,2016-03-24,2.39
62,신규,제조업,중기업,신보,K1,2016-03-24,2.39
63,신규,제조업,중기업,신보,K1,2016-03-24,2.39
64,신규,제조업,중기업,신보,K1,2016-03-24,2.39
65,신규,도매 및 소매업,소기업,신보,K1,2016-03-24,2.49
66,신규,제조업,중기업,신보,K1,2016-03-24,2.49
67,신규,제조업,중기업,신보,K2,2016-03-24,2.59
68,신규,도매 및 소매업,중기업,신보,K2,2016-03-24,2.59
69,신규,제조업,소기업,신보,K2,2016-03-24,2.69
70,신규,제조업,소기업,신보,K2,2016-03-24,2.69
71,신규,제조업,소기업,신보,K2,2016-03-24,2.69
72,신규,도매 및 소매업,소기업,신보,K2,2016-03-24,2.69
73,신규,육상 운송 및 파이프라인 운송업,소기업,신보,K1,2016-03-24,2.69
74,신규,도매 및 소매업,중기업,신보,K1,2016-03-24,2.69
75,신규,도매 및 소매업,중기업,신보,K3,2016-03-24,2.79
76,신규,제조업,소기업,신보,K3,2016-03-24,2.79
77,신규,도매 및 소매업,소기업,신보,K3,2016-03-24,2.79
78,신규,제조업,소기업,신보,K3,2016-03-24,2.89
79,신규,제조업,중기업,신보,K3,2016-03-24,2.89
80,신규,제조업,소기업,신보,K3,2016-03-24,2.89
81,신규,도매 및 소매업,중기업,신보,K2,2016-03-24,2.89
82,신규,도매 및 소매업,소기업,신보,K3,2016-03-24,2.89
83,신규,도매 및 소매업,소기업,신보,K2,2016-03-24,2.89
84,차환,제조업,중기업,신보,K1,2016-03-24,2.96
85,신규,제조업,중기업,신보,K4,2016-03-24,2.99
86,신규,제조업,중기업,신보,K4,2016-03-24,2.99
87,신규,도매 및 소매업,중기업,신보,K4,2016-03-24,2.99
88,신규,제조업,중기업,신보,K4,2016-03-24,2.99
89,신규,제조업,소기업,신보,K4,2016-03-24,2.99
90,신규,도매 및 소매업,중기업,신보,K4,2016-03-24,2.99
91,신규,도매 및 소매업,중기업,신보,K4,2016-03-24,2.99
92,신규,도매 및 소매업,중기업,신보,K4,2016-03-24,3.09
93,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K4,2016-03-24,3.09
94,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K4,2016-03-24,3.09
95,신규,제조업,소기업,신보,K4,2016-03-24,3.09
96,신규,도매 및 소매업,소기업,신보,K3,2016-03-24,3.09
97,신규,제조업,소기업,신보,K4,2016-03-24,3.09
98,신규,도매 및 소매업,중기업,신보,K4,2016-03-24,3.09
99,신규,육상 운송 및 파이프라인 운송업,소기업,신보,K4,2016-03-24,3.09
100,신규,도매 및 소매업,중기업,신보,K3,2016-03-24,3.09
101,신규,제조업,소기업,신보,K4,2016-03-24,3.09
102,신규,제조업,소기업,신보,K3,2016-03-24,3.09
103,신규,도매 및 소매업,소기업,신보,K3,2016-03-24,3.09
104,차환,제조업,소기업,신보,K3,2016-03-24,3.16
105,차환,도매 및 소매업,중기업,신보,K2,2016-03-24,3.16
106,신규,도매 및 소매업,중기업,신보,K5,2016-03-24,3.19
107,신규,도매 및 소매업,중기업,신보,K5,2016-03-24,3.19
108,신규,제조업,중기업,신보,K5,2016-03-24,3.19
109,신규,제조업,소기업,신보,K5,2016-03-24,3.19
110,차환,도매 및 소매업,중기업,신보,K3,2016-03-24,3.26
111,차환,도매 및 소매업,중기업,신보,K3,2016-03-24,3.26
112,차환,제조업,소기업,신보,K3,2016-03-24,3.26
113,신규,제조업,소기업,신보,K5,2016-03-24,3.29
114,신규,제조업,소기업,신보,K5,2016-03-24,3.29
115,신규,육상 운송 및 파이프라인 운송업,소기업,신보,K4,2016-03-24,3.29
116,신규,제조업,소기업,신보,K4,2016-03-24,3.29
117,신규,육상 운송 및 파이프라인 운송업,중기업,신보,K4,2016-03-24,3.29
118,신규,제조업,소기업,신보,K5,2016-03-24,3.29
119,차환,제조업,소기업,신보,K4,2016-03-24,3.36
120,차환,제조업,중기업,신보,K3,2016-03-24,3.36
121,차환,도매 및 소매업,중기업,신보,K3,2016-03-24,3.36
122,신규,제조업,소기업,신보,K6,2016-03-24,3.49
123,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K4,2016-03-24,3.56
124,차환,제조업,중견기업,신보,K4,2016-03-24,3.56
125,차환,도매 및 소매업,중기업,신보,K4,2016-03-24,3.56
126,차환,제조업,소기업,신보,K5,2016-03-24,3.56
127,차환,도매 및 소매업,소기업,신보,K5,2016-03-24,3.66
128,차환,도매 및 소매업,소기업,신보,K5,2016-03-24,3.66
129,차환,도매 및 소매업,소기업,신보,K5,2016-03-24,3.66
130,신규,도매 및 소매업,소기업,신보,K6,2016-03-24,3.69
131,신규,제조업,소기업,신보,K6,2016-03-24,3.69
132,신규,건설업,소기업,신보,K6,2016-03-24,3.69
133,신규,육상 운송 및 파이프라인 운송업,소기업,신보,K6,2016-03-24,3.69
134,신규,제조업,소기업,신보,K6,2016-03-24,3.69
135,신규,도매 및 소매업,중기업,신보,K6,2016-03-24,3.69
136,신규,제조업,중기업,신보,K6,2016-03-24,3.69
137,신규,제조업,소기업,신보,K6,2016-03-24,3.69
138,신규,도매 및 소매업,소기업,신보,K6,2016-03-24,3.69
139,차환,도매 및 소매업,소기업,신보,K5,2016-03-24,3.76
140,차환,제조업,중기업,신보,K5,2016-03-24,3.76
141,신규,제조업,소기업,신보,K7,2016-03-24,3.89
142,신규,도매 및 소매업,중기업,신보,K7,2016-03-24,3.89
143,신규,건설업,소기업,신보,K7,2016-03-24,3.89
144,신규,도매 및 소매업,중기업,신보,K7,2016-03-24,3.89
145,신규,제조업,중기업,신보,K7,2016-03-24,3.89
146,신규,제조업,중기업,신보,K7,2016-03-24,3.89
147,신규,제조업,중기업,신보,K7,2016-03-24,3.89
148,차환,건설업,중기업,신보,K6,2016-03-24,3.96
149,신규,도매 및 소매업,소기업,신보,K8,2016-03-24,4.09
150,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K8,2016-03-24,4.09
151,신규,제조업,소기업,신보,K8,2016-03-24,4.09
152,신규,제조업,소기업,신보,K8,2016-03-24,4.09
153,차환,건설업,중기업,신보,K7,2016-03-24,4.16
154,신규,제조업,소기업,신보,K9,2016-03-24,4.29
155,신규,도매 및 소매업,소기업,신보,K9,2016-03-24,4.29
156,차환,건설업,중기업,신보,K8,2016-03-24,4.36
157,차환,건설업,중기업,신보,K9,2016-03-24,4.56
158,차환,건설업,소기업,신보,K10,2016-03-24,4.66
159,차환,건설업,소기업,신보,K11,2016-03-24,4.86
160,차환,건설업,소기업,신보,K12,2016-03-24,5.06
161,차환,건설업,소기업,신보,K14,2016-03-24,5.06
162,차환,건설업,소기업,신보,K13,2016-03-24,5.36
163,차환,도매 및 소매업,중기업,신보,K6,2016-03-24,3.86
164,차환,제조업,소기업,신보,K6,2016-03-24,3.86
165,차환,도매 및 소매업,소기업,신보,K6,2016-03-24,3.86
166,차환,제조업,중기업,신보,K6,2016-03-24,3.86
167,차환,제조업,소기업,신보,K6,2016-03-24,3.86
168,차환,제조업,중기업,신보,K6,2016-03-24,3.86
169,차환,도매 및 소매업,중기업,신보,K6,2016-03-24,3.96
170,차환,제조업,소기업,신보,K6,2016-03-24,3.96
171,차환,도매 및 소매업,중기업,신보,K6,2016-03-24,3.96
172,차환,제조업,소기업,신보,K6,2016-03-24,3.96
173,차환,제조업,중기업,신보,K6,2016-03-24,3.96
174,차환,도매 및 소매업,소기업,신보,K6,2016-03-24,3.96
175,차환,제조업,중기업,신보,K6,2016-03-24,3.96
176,차환,제조업,소기업,신보,K7,2016-03-24,4.06
177,차환,도매 및 소매업,중기업,신보,K7,2016-03-24,4.16
178,차환,도매 및 소매업,소기업,신보,K7,2016-03-24,4.16
179,차환,도매 및 소매업,중기업,신보,K7,2016-03-24,4.16
180,차환,도매 및 소매업,중기업,신보,K8,2016-03-24,4.26
181,차환,제조업,소기업,신보,K8,2016-03-24,4.36
182,차환,도매 및 소매업,중기업,신보,K8,2016-03-24,4.36
183,차환,제조업,중기업,신보,K9,2016-03-24,4.46
184,차환,제조업,중기업,신보,K8,2016-03-24,4.46
185,차환,제조업,중기업,신보,K9,2016-03-24,4.56
186,차환,제조업,중기업,신보,K9,2016-03-24,4.56
187,차환,제조업,중기업,신보,K9,2016-03-24,4.56
188,차환,제조업,소기업,신보,K9,2016-03-24,4.56
189,차환,제조업,소기업,신보,K10,2016-03-24,4.66
190,차환,제조업,중기업,신보,K11,2016-03-24,4.76
191,차환,제조업,소기업,신보,K10,2016-03-24,4.76
192,차환,제조업,중기업,신보,K10,2016-03-24,4.76
193,차환,도매 및 소매업,중기업,신보,K10,2016-03-24,4.76
194,차환,제조업,중기업,신보,K10,2016-03-24,4.76
195,차환,제조업,소기업,신보,K11,2016-03-24,4.86
196,차환,제조업,소기업,신보,K11,2016-03-24,4.96
197,차환,제조업,소기업,신보,K11,2016-03-24,4.96
198,차환,도매 및 소매업,중기업,신보,K11,2016-03-24,4.96
199,차환,도매 및 소매업,소기업,신보,K11,2016-03-24,4.96
200,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K11,2016-03-24,4.96
201,차환,도매 및 소매업,중기업,신보,K13,2016-03-24,5.06
202,차환,도매 및 소매업,중기업,신보,K15,2016-03-24,5.06
203,차환,제조업,중기업,신보,K12,2016-03-24,5.16
204,차환,제조업,중기업,신보,K12,2016-03-24,5.16
205,차환,제조업,소기업,신보,K14,2016-03-24,5.16
206,차환,도매 및 소매업,중기업,신보,K12,2016-03-24,5.16
207,차환,제조업,소기업,신보,K14,2016-03-24,5.16
208,차환,제조업,소기업,신보,K12,2016-03-24,5.16
209,차환,도매 및 소매업,소기업,신보,K12,2016-03-24,5.36
210,차환,도매 및 소매업,소기업,신보,K13,2016-03-24,5.36
211,차환,제조업,중기업,신보,K15,2016-03-24,5.36
212,차환,제조업,소기업,신보,K12,2016-03-24,5.36
213,차환,육상 운송 및 파이프라인 운송업,대기업,신평사,BB,2015-10-22,10.15
214,신규,제조업,중기업,신보,K1,2016-04-28,2.14
215,신규,제조업,중기업,신보,K1,2016-04-28,2.34
216,신규,제조업,중기업,신보,K1,2016-04-28,2.34
217,신규,제조업,소기업,신보,K1,2016-04-28,2.34
218,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K1,2016-04-28,2.44
219,신규,제조업,소기업,신보,K1,2016-04-28,2.44
220,신규,제조업,소기업,신보,K1,2016-04-28,2.44
221,신규,도매 및 소매업,소기업,신보,K2,2016-04-28,2.54
222,신규,제조업,중기업,신보,K3,2016-04-28,2.54
223,신규,제조업,중기업,신보,K2,2016-04-28,2.54
224,신규,육상 운송 및 파이프라인 운송업,소기업,신보,K2,2016-04-28,2.54
225,신규,도매 및 소매업,중기업,신보,K2,2016-04-28,2.64
226,신규,도매 및 소매업,중기업,신보,K2,2016-04-28,2.64
227,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K2,2016-04-28,2.64
228,신규,제조업,중기업,신보,K3,2016-04-28,2.74
229,신규,제조업,중기업,신보,K4,2016-04-28,2.74
230,신규,제조업,중기업,신보,K3,2016-04-28,2.74
231,신규,도매 및 소매업,소기업,신보,K3,2016-04-28,2.74
232,신규,제조업,소기업,신보,K3,2016-04-28,2.74
233,신규,제조업,소기업,신보,K3,2016-04-28,2.74
234,신규,제조업,중기업,신보,K3,2016-04-28,2.74
235,신규,보건업,중기업,신보,K3,2016-04-28,2.74
236,신규,도매 및 소매업,소기업,신보,K3,2016-04-28,2.74
237,신규,도매 및 소매업,중기업,신보,K3,2016-04-28,2.74
238,신규,제조업,소기업,신보,K3,2016-04-28,2.84
239,신규,도매 및 소매업,소기업,신보,K3,2016-04-28,2.84
240,신규,부동산업,소기업,신보,K3,2016-04-28,2.84
241,신규,제조업,소기업,신보,K2,2016-04-28,2.84
242,신규,제조업,소기업,신보,K2,2016-04-28,2.84
243,신규,제조업,소기업,신보,K3,2016-04-28,2.84
244,신규,제조업,소기업,신보,K3,2016-04-28,2.84
245,차환,도매 및 소매업,중기업,신보,K1,2016-04-28,2.91
246,신규,제조업,중견기업,신보,K3,2016-04-28,2.94
247,신규,도매 및 소매업,중기업,신보,K4,2016-04-28,2.94
248,신규,제조업,소기업,신보,K4,2016-04-28,2.94
249,신규,도매 및 소매업,중기업,신보,K4,2016-04-28,2.94
250,신규,제조업,중기업,신보,K4,2016-04-28,2.94
251,차환,육상 운송 및 파이프라인 운송업,중기업,신보,K2,2016-04-28,3.01
252,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K2,2016-04-28,3.01
253,신규,제조업,중기업,신보,K4,2016-04-28,3.04
254,신규,제조업,소기업,신보,K4,2016-04-28,3.04
255,신규,도매 및 소매업,소기업,신보,K4,2016-04-28,3.04
256,신규,제조업,소기업,신보,K3,2016-04-28,3.04
257,신규,도매 및 소매업,중기업,신보,K4,2016-04-28,3.04
258,신규,제조업,중기업,신보,K5,2016-04-28,3.14
259,신규,제조업,중기업,신보,K6,2016-04-28,3.14
260,신규,제조업,소기업,신보,K5,2016-04-28,3.14
261,신규,부동산업,중기업,신보,K5,2016-04-28,3.14
262,신규,건설업,중기업,신보,K5,2016-04-28,3.14
263,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K5,2016-04-28,3.14
264,신규,도매 및 소매업,중기업,신보,K5,2016-04-28,3.14
265,차환,제조업,중기업,신보,K3,2016-04-28,3.21
266,차환,도매 및 소매업,중기업,신보,K3,2016-04-28,3.21
267,신규,제조업,중기업,신보,K4,2016-04-28,3.24
268,신규,도매 및 소매업,중기업,신보,K5,2016-04-28,3.24
269,신규,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K5,2016-04-28,3.24
270,신규,제조업,소기업,신보,K5,2016-04-28,3.24
271,신규,도매 및 소매업,소기업,신보,K4,2016-04-28,3.24
272,신규,건설업,소기업,신보,K4,2016-04-28,3.24
273,신규,도매 및 소매업,소기업,신보,K5,2016-04-28,3.24
274,신규,도매 및 소매업,중기업,신보,K5,2016-04-28,3.24
275,신규,제조업,소기업,신보,K5,2016-04-28,3.24
276,차환,제조업,중기업,신보,K3,2016-04-28,3.31
277,차환,제조업,소기업,신보,K3,2016-04-28,3.31
278,차환,제조업,중기업,신보,K3,2016-04-28,3.31
279,차환,도매 및 소매업,중기업,신보,K3,2016-04-28,3.31
280,차환,제조업,한시성중소기업,신보,K4,2016-04-28,3.41
281,차환,제조업,소기업,신보,K4,2016-04-28,3.41
282,차환,도매 및 소매업,소기업,신보,K4,2016-04-28,3.41
283,신규,제조업,소기업,신보,K5,2016-04-28,3.44
284,신규,도매 및 소매업,소기업,신보,K5,2016-04-28,3.44
285,신규,건설업,소기업,신보,K5,2016-04-28,3.44
286,신규,제조업,중기업,신보,K8,2016-04-28,3.54
287,차환,도매 및 소매업,중기업,신보,K5,2016-04-28,3.61
288,신규,건설업,중기업,신보,K6,2016-04-28,3.64
289,신규,도매 및 소매업,중기업,신보,K6,2016-04-28,3.64
290,신규,육상 운송 및 파이프라인 운송업,중기업,신보,K6,2016-04-28,3.64
291,신규,제조업,소기업,신보,K6,2016-04-28,3.64
292,신규,건설업,소기업,신보,K6,2016-04-28,3.64
293,신규,제조업,중기업,신보,K6,2016-04-28,3.64
294,신규,제조업,중기업,신보,K6,2016-04-28,3.64
295,신규,제조업,중기업,신보,K6,2016-04-28,3.64
296,신규,제조업,소기업,신보,K6,2016-04-28,3.64
297,신규,도매 및 소매업,소기업,신보,K6,2016-04-28,3.64
298,신규,제조업,중기업,신보,K6,2016-04-28,3.64
299,신규,제조업,소기업,신보,K6,2016-04-28,3.64
300,신규,도매 및 소매업,소기업,신보,K6,2016-04-28,3.64
301,신규,도매 및 소매업,소기업,신보,K6,2016-04-28,3.64
302,신규,도매 및 소매업,중기업,신보,K6,2016-04-28,3.64
303,신규,도매 및 소매업,중기업,신보,K6,2016-04-28,3.64
304,신규,도매 및 소매업,중기업,신보,K6,2016-04-28,3.64
305,신규,도매 및 소매업,중기업,신보,K6,2016-04-28,3.64
306,신규,도매 및 소매업,소기업,신보,K6,2016-04-28,3.64
307,신규,제조업,중기업,신보,K6,2016-04-28,3.64
308,신규,"하수처리, 폐기물처리 및 청소관련 서비스업",중기업,신보,K6,2016-04-28,3.64
309,차환,도매 및 소매업,소기업,신보,K5,2016-04-28,3.71
310,차환,도매 및 소매업,중기업,신보,K5,2016-04-28,3.71
311,신규,도매 및 소매업,중기업,신보,K7,2016-04-28,3.84
312,신규,제조업,소기업,신보,K7,2016-04-28,3.84
313,신규,제조업,중기업,신보,K7,2016-04-28,3.84
314,신규,도매 및 소매업,중기업,신보,K7,2016-04-28,3.84
315,신규,도매 및 소매업,소기업,신보,K7,2016-04-28,3.84
316,신규,도매 및 소매업,중기업,신보,K7,2016-04-28,3.84
317,신규,제조업,소기업,신보,K7,2016-04-28,3.84
318,신규,제조업,소기업,신보,K7,2016-04-28,3.84
319,신규,제조업,소기업,신보,K7,2016-04-28,3.84
320,신규,제조업,소기업,신보,K7,2016-04-28,3.84
321,신규,제조업,소기업,신보,K7,2016-04-28,3.84
322,신규,정보처리 및 기타 컴퓨터 운영 관련업,소기업,신보,K7,2016-04-28,3.84
323,신규,제조업,소기업,신보,K7,2016-04-28,3.84
324,신규,제조업,소기업,신보,K7,2016-04-28,3.84
325,차환,제조업,소기업,신보,K7,2016-04-28,3.91
326,차환,제조업,중기업,신보,K7,2016-04-28,3.91
327,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K6,2016-04-28,3.91
328,차환,도매 및 소매업,중기업,신보,K6,2016-04-28,3.91
329,차환,도매 및 소매업,중기업,신보,K6,2016-04-28,3.91
330,차환,제조업,중기업,신보,K6,2016-04-28,3.91
331,신규,제조업,소기업,신보,K9,2016-04-28,3.94
332,차환,도매 및 소매업,중기업,신보,K7,2016-04-28,4.01
333,차환,제조업,중기업,신보,K7,2016-04-28,4.01
334,차환,도매 및 소매업,중기업,신보,K7,2016-04-28,4.01
335,신규,제조업,소기업,신보,K8,2016-04-28,4.04
336,신규,제조업,소기업,신보,K8,2016-04-28,4.04
337,신규,제조업,소기업,신보,K8,2016-04-28,4.04
338,신규,건설업,소기업,신보,K8,2016-04-28,4.04
339,신규,제조업,중기업,신보,K8,2016-04-28,4.04
340,신규,제조업,소기업,신보,K8,2016-04-28,4.04
341,신규,건설업,소기업,신보,K8,2016-04-28,4.04
342,신규,도매 및 소매업,소기업,신보,K8,2016-04-28,4.04
343,차환,도매 및 소매업,중기업,신보,K7,2016-04-28,4.11
344,차환,건설업,소기업,신보,K7,2016-04-28,4.11
345,차환,제조업,소기업,신보,K7,2016-04-28,4.11
346,차환,제조업,소기업,신보,K7,2016-04-28,4.11
347,신규,제조업,중견기업,신평사,BB+,2016-04-28,4.14
348,차환,제조업,소기업,신보,K8,2016-04-28,4.21
349,신규,건설업,소기업,신보,K9,2016-04-28,4.24
350,차환,건설업,중기업,신보,K9,2016-04-28,4.31
351,차환,건설업,소기업,신보,K8,2016-04-28,4.31
352,차환,제조업,중기업,신보,K8,2016-04-28,4.31
353,차환,제조업,중기업,신보,K8,2016-04-28,4.41
354,차환,제조업,소기업,신보,K9,2016-04-28,4.41
355,차환,제조업,중기업,신보,K9,2016-04-28,4.51
356,차환,제조업,소기업,신보,K9,2016-04-28,4.51
357,차환,도매 및 소매업,중기업,신보,K9,2016-04-28,4.51
358,차환,제조업,소기업,신보,K9,2016-04-28,4.51
359,차환,제조업,중기업,신보,K9,2016-04-28,4.61
360,차환,제조업,소기업,신보,K11,2016-04-28,4.61
361,차환,제조업,중기업,신보,K10,2016-04-28,4.71
362,차환,제조업,소기업,신보,K10,2016-04-28,4.71
363,차환,제조업,중기업,신보,K10,2016-04-28,4.71
364,차환,제조업,소기업,신보,K11,2016-04-28,4.81
365,차환,도매 및 소매업,소기업,신보,K10,2016-04-28,4.81
366,차환,제조업,소기업,신보,K11,2016-04-28,4.91
367,차환,도매 및 소매업,중기업,신보,K11,2016-04-28,4.91
368,차환,제조업,소기업,신보,K11,2016-04-28,4.91
369,차환,건설업,소기업,신보,K11,2016-04-28,4.91
370,차환,제조업,소기업,신보,K13,2016-04-28,4.91
371,차환,제조업,소기업,신보,K11,2016-04-28,4.91
372,차환,제조업,소기업,신보,K11,2016-04-28,4.91
373,차환,도매 및 소매업,중기업,신보,K11,2016-04-28,4.91
374,차환,도매 및 소매업,중기업,신보,K12,2016-04-28,5.01
375,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K12,2016-04-28,5.01
376,차환,제조업,중기업,신보,K14,2016-04-28,5.01
377,차환,제조업,소기업,신보,K12,2016-04-28,5.01
378,차환,제조업,중기업,신보,K13,2016-04-28,5.11
379,차환,건설업,소기업,신보,K11,2016-04-28,5.11
380,차환,제조업,중기업,신보,K12,2016-04-28,5.11
381,차환,제조업,중기업,신보,K11,2016-04-28,5.11
382,차환,제조업,중기업,신보,K15,2016-04-28,5.11
383,차환,제조업,소기업,신보,K14,2016-04-28,5.11
384,차환,도매 및 소매업,중기업,신보,K13,2016-04-28,5.31
385,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K12,2016-04-28,5.31
386,차환,제조업,중기업,신보,K14,2016-04-28,5.31
387,차환,제조업,중기업,신보,K15,2016-04-28,5.31
388,차환,제조업,소기업,신보,K14,2016-04-28,5.31
389,차환,육상 운송 및 파이프라인 운송업,중기업,신보,K2,2016-04-28,3.01
390,차환,도매 및 소매업,소기업,신보,K3,2016-04-28,3.11
391,차환,제조업,소기업,신보,K2,2016-04-28,3.11
392,차환,도매 및 소매업,소기업,신보,K3,2016-04-28,3.21
393,차환,건설업,중견기업,신평사,BBB+,2016-04-28,3.31
394,차환,도매 및 소매업,소기업,신보,K4,2016-04-28,3.31
395,차환,도매 및 소매업,중기업,신보,K3,2016-04-28,3.41
396,차환,제조업,중기업,신보,K4,2016-04-28,3.51
397,차환,건설업,중견기업,신평사,BBB,2016-04-28,3.61
398,차환,건설업,소기업,신보,K5,2016-04-28,3.61
399,차환,도매 및 소매업,소기업,신보,K5,2016-04-28,3.61
400,차환,도매 및 소매업,중기업,신보,K5,2016-04-28,3.61
401,차환,제조업,중기업,신보,K5,2016-04-28,3.71
402,차환,제조업,중기업,신보,K5,2016-04-28,3.71
403,차환,제조업,소기업,신보,K5,2016-04-28,3.71
404,차환,도매 및 소매업,중기업,신보,K5,2016-04-28,3.81
405,차환,건설업,소기업,신보,K6,2016-04-28,3.81
406,차환,도매 및 소매업,중기업,신보,K6,2016-04-28,3.81
407,차환,건설업,소기업,신보,K6,2016-04-28,3.81
408,차환,제조업,소기업,신보,K6,2016-04-28,3.81
409,차환,도매 및 소매업,소기업,신보,K6,2016-04-28,3.81
410,차환,건설업,소기업,신보,K6,2016-04-28,3.81
411,차환,제조업,소기업,신보,K6,2016-04-28,3.81
412,차환,도매 및 소매업,중기업,신보,K6,2016-04-28,3.91
413,차환,도매 및 소매업,소기업,신보,K6,2016-04-28,3.91
414,차환,제조업,소기업,신보,K6,2016-04-28,3.91
415,차환,제조업,소기업,신보,K6,2016-04-28,3.91
416,차환,육상 운송 및 파이프라인 운송업,중기업,신보,K6,2016-04-28,3.91
417,차환,도매 및 소매업,소기업,신보,K7,2016-04-28,3.91
418,차환,도매 및 소매업,소기업,신보,K7,2016-04-28,4.01
419,차환,제조업,중기업,신보,K6,2016-04-28,4.01
420,차환,제조업,소기업,신보,K7,2016-04-28,4.01
421,차환,도매 및 소매업,소기업,신보,K7,2016-04-28,4.11
